document_id,year,paper,question_number,subquestion,marks,question_text,source_type,segmentation_status,topic_v2,subtopic_v2,mapping_method_v2,mapping_confidence_v2,signature_id_v2,_source,inherited_v2
2021_nov_p1_exam_maths,2021,P1,1,1.1,,Solve for x:,exam,missing_marks,ALG,,signature,high,nsc_solve_x,path_a,False
2021_nov_p1_exam_maths,2021,P1,1,1.1.1,3.0,x? ~2x-24=0,exam,ok,,,unmapped,,,path_a,False
2021_nov_p1_exam_maths,2021,P1,1,1.1.2,3.0,2x*-3x-3=0 (correct to TWO decimal places),exam,ok,ALG,,struct,high,STRUCT_ALG,path_a,False
2021_nov_p1_exam_maths,2021,P1,1,1.1.3,4.0,x? +5x<-4,exam,ok,ALG,,struct,high,STRUCT_ALG,path_a,False
2021_nov_p1_exam_maths,2021,P1,1,1.1.4,4.0,Vx+28=2-x,exam,ok,,,unmapped,,,path_a,False
2021_nov_p1_exam_maths,2021,P1,1,1.2,6.0,"Solve simultaneously for x and y in:
2y=3+x and 2xy+7=x7? +4y’",exam,ok,ALG,,struct,high,STRUCT_ALG,path_a,False
2021_nov_p1_exam_maths,2021,P1,1,1.3,,"The roots of an equation are x= ae =e where m, n and p are positive
real numbers. The numbers m, n and pin that order, form a geometric sequence.
Prove that x is a non-real number. (4)",exam,mark_capped,SEQ,,signature,high,nsc_geometric_seq,path_a,False
2021_nov_p1_exam_maths,2021,P1,2,2.1,2.0,| Calculate the value of x.,exam,ok,,,unmapped,,,path_a,False
2021_nov_p1_exam_maths,2021,P1,2,2.2,2.0,"Show that the sum of the first m termsis S$, =1 ovo(t —(0,9)"" ).",exam,ok,SEQ,,lexicon,medium,,path_a,False
2021_nov_p1_exam_maths,2021,P1,2,2.3,,"Hence, or otherwise, calculate the sum to infinity. (2)
[6]
Copyright reserved — Please turn over

===== Page 4 =====
Mathematics P! 4 DBE/November 2021
NSC",exam,missing_marks,SEQ,,signature,high,sum_to_infinity,path_a,False
2021_nov_p1_exam_maths,2021,P1,3,3.1,1.0,"Write down the value of T,.",exam,ok,,,unmapped,,,path_a,False
2021_nov_p1_exam_maths,2021,P1,3,3.2,3.0,"Show that the general term of this number pattern is T, = —n? + 26n-170.",exam,ok,SEQ,,lexicon,medium,,path_a,False
2021_nov_p1_exam_maths,2021,P1,3,3.3,4.0,"Between which TWO terms of the quadratic number pattern will there be a difference
of —121?",exam,ok,SEQ,,signature,high,nsc_quadratic_pattern,path_a,False
2021_nov_p1_exam_maths,2021,P1,3,3.4,11.0,"What value must be added to each term in the number pattern so that the value of the
maximum term in the new number pattern formed will be 1? (3)",exam,ok,CALC,,signature,medium,nsc_maximum,path_a,False
2021_nov_p1_exam_maths,2021,P1,4,4.1,3.0,"Determine T,,.",exam,ok,,,unmapped,,,path_a,False
2021_nov_p1_exam_maths,2021,P1,4,4.2,,"Calculate the sum of the first 51 terms. (2)
; 5000",exam,missing_marks,SEQ,,lexicon,medium,,path_a,False
