intervention_id,topic,misconception_id,intervention_pattern,status
N08_ALG_QUAD_SIGN_01,Algebra & Equations,M_SIGN_ERROR_FACTORISATION,IP_MISCONCEPTION_CONTRAST,active
N08_FUNC_PARAB_02,Functions & Graphs,M_TP_COORD_CONFUSION,IP_REPRESENTATION_SHIFT,active
N08_TRIG_RED_01,Trigonometry,M_REDUCTION_SIGN,IP_MISCONCEPTION_CONTRAST,active
N08_AGEO_PROOF_01,Analytical Geometry,M_DIAGRAM_ASSUMPTION,IP_STEP_ISOLATION,active
N08_EUCL_PROOF_01,Euclidean Geometry,M_MISSING_THEOREM_CITATION,IP_SELF_EXPLANATION,active
N08_ALG_QUAD_FACTOR_02,Algebra & Equations,M_FACTORISATION_INCOMPLETE,IP_STEP_ISOLATION,active
N08_FUNC_ASYMP_01,Functions & Graphs,M_ASYMPTOTE_CONFUSION,IP_REPRESENTATION_SHIFT,active
N08_TRIG_ID_01,Trigonometry,M_IDENTITY_MISAPPLY,IP_MISCONCEPTION_CONTRAST,active
N08_CALC_CHAIN_01,Calculus,M_CHAIN_RULE_DROP,IP_GRADUATED_DIFFICULTY,active
N08_SEQ_GP_01,Number Patterns & Sequences,M_GP_COMMON_RATIO,IP_STEP_ISOLATION,active
N08_STAT_BOX_01,Statistics,M_BOXPLOT_IQR,IP_REPRESENTATION_SHIFT,active
N08_EUCL_SIM_01,Euclidean Geometry,M_SIMILARITY_RATIO,IP_BOUNDARY_CASE,active
N08_ALG_001,Algebra & Equations,M_ALG_SIGN_FLIP_FACTOR,IP_STEP_ISOLATION,active
N08_ALG_002,Algebra & Equations,M_ALG_DIVIDE_BY_X_LOSE_ROOT,IP_STEP_ISOLATION,active
N08_ALG_003,Algebra & Equations,M_ALG_INEQUALITY_DIRECTION,IP_REPRESENTATION_SHIFT,active
N08_ALG_004,Algebra & Equations,M_ALG_STANDARD_FORM,IP_STEP_ISOLATION,active
N08_ALG_005,Algebra & Equations,M_ALG_DISCRIMINANT_SIGN,IP_STEP_ISOLATION,active
N08_ALG_006,Algebra & Equations,M_ALG_SURD_NOT_ISOLATED,IP_STEP_ISOLATION,active
N08_ALG_007,Algebra & Equations,M_ALG_SURD_EXTRANEOUS_ROOT,IP_STEP_ISOLATION,active
N08_ALG_008,Algebra & Equations,M_ALG_EXP_NO_COMMON_BASE,IP_STEP_ISOLATION,active
N08_ALG_009,Algebra & Equations,M_ALG_SET_NOTATION,IP_REPRESENTATION_SHIFT,active
N08_ALG_010,Algebra & Equations,M_ALG_K_SUBSTITUTION,IP_STEP_ISOLATION,active
N08_SEQ_001,Sequences & Series,M_SEQ_OFF_BY_ONE,IP_STEP_ISOLATION,active
N08_SEQ_002,Sequences & Series,M_SEQ_TN_VS_SN,IP_STEP_ISOLATION,active
N08_SEQ_003,Sequences & Series,M_SEQ_GP_CONVERGE,IP_STEP_ISOLATION,active
N08_SEQ_004,Sequences & Series,M_SEQ_QUADRATIC_SECOND_DIFF,IP_STEP_ISOLATION,active
N08_SEQ_005,Sequences & Series,M_SEQ_SIGMA_LIMITS,IP_STEP_ISOLATION,active
N08_FUNC_001,Functions & Graphs,M_FUNC_DOMAIN_ASYMPTOTE,IP_STEP_ISOLATION,active
N08_FUNC_002,Functions & Graphs,M_FUNC_RANGE_TURNING_POINT,IP_STEP_ISOLATION,active
N08_FUNC_003,Functions & Graphs,M_FUNC_INVERSE_DOMAIN,IP_STEP_ISOLATION,active
N08_FUNC_004,Functions & Graphs,M_FUNC_PARAMETER_PQ,IP_STEP_ISOLATION,active
N08_FUNC_005,Functions & Graphs,M_FUNC_ASYMPTOTE_MISSING,IP_STEP_ISOLATION,active
N08_FUNC_006,Functions & Graphs,M_FUNC_EXPONENTIAL_RANGE,IP_STEP_ISOLATION,active
N08_FIN_001,Finance,M_FIN_COMPOUND_FREQUENCY,IP_STEP_ISOLATION,active
N08_FIN_002,Finance,M_FIN_SIMPLE_VS_COMPOUND,IP_STEP_ISOLATION,active
N08_FIN_003,Finance,M_FIN_RATE_DECIMAL,IP_STEP_ISOLATION,active
N08_FIN_004,Finance,M_FIN_EARLY_ROUNDING,IP_STEP_ISOLATION,active
N08_FIN_005,Finance,M_FIN_LOG_FOR_N,IP_STEP_ISOLATION,active
N08_CALC_001,Calculus,M_CALC_FP_FORMULA_WRONG,IP_REPRESENTATION_SHIFT,active
N08_CALC_002,Calculus,M_CALC_LIMIT_DROPPED,IP_REPRESENTATION_SHIFT,active
N08_CALC_003,Calculus,M_CALC_FPRIME_ZERO,IP_STEP_ISOLATION,active
N08_CALC_004,Calculus,M_CALC_SECOND_DERIV,IP_STEP_ISOLATION,active
N08_CALC_005,Calculus,M_CALC_TANGENT_GRADIENT,IP_STEP_ISOLATION,active
N08_CALC_006,Calculus,M_CALC_OPTIMISATION_PI,IP_STEP_ISOLATION,active
N08_CALC_007,Calculus,M_CALC_NATURE_TABLE,IP_STEP_ISOLATION,active
N08_PROB_001,Probability,M_PROB_INDEPENDENCE_TEST,IP_STEP_ISOLATION,active
N08_PROB_002,Probability,M_PROB_AT_LEAST,IP_SELF_EXPLANATION,active
N08_PROB_003,Probability,M_PROB_TREE_MULTIPLY,IP_STEP_ISOLATION,active
N08_PROB_004,Probability,M_PROB_VENN_REGIONS,IP_STEP_ISOLATION,active
N08_PROB_005,Probability,M_PROB_FACTORIAL_MISUSE,IP_STEP_ISOLATION,active
N08_STAT_001,Statistics,M_STAT_CUMULATIVE_AS_FREQ,IP_SELF_EXPLANATION,active
N08_STAT_002,Statistics,M_STAT_MEDIAN_POSITION,IP_STEP_ISOLATION,active
N08_STAT_003,Statistics,M_STAT_LEAST_SQUARES_SWAP,IP_STEP_ISOLATION,active
N08_STAT_004,Statistics,M_STAT_SD_INTERVAL,IP_STEP_ISOLATION,active
N08_STAT_005,Statistics,M_STAT_ROUNDING,IP_STEP_ISOLATION,active
N08_TRIG_001,Trigonometry,M_TRIG_REDUCTION_SIGN,IP_STEP_ISOLATION,active
N08_TRIG_002,Trigonometry,M_TRIG_COMPOUND_UNRECOGNISED,IP_STEP_ISOLATION,active
N08_TRIG_003,Trigonometry,M_TRIG_GENERAL_SOLUTION,IP_STEP_ISOLATION,active
N08_TRIG_004,Trigonometry,M_TRIG_IDENTITY_ONE_SIDE,IP_STEP_ISOLATION,active
N08_TRIG_005,Trigonometry,M_TRIG_SPECIAL_VALUES,IP_STEP_ISOLATION,active
N08_TRIG_006,Trigonometry,M_TRIG_3D_RULE_CHOICE,IP_STEP_ISOLATION,active
N08_TRIG_007,Trigonometry,M_TRIG_AMPLITUDE_PERIOD,IP_STEP_ISOLATION,active
N08_AGEO_001,Analytical Geometry,M_AGEO_GRADIENT_SWAP,IP_STEP_ISOLATION,active
N08_AGEO_002,Analytical Geometry,M_AGEO_BRACKETS_NEG,IP_STEP_ISOLATION,active
N08_AGEO_003,Analytical Geometry,M_AGEO_TANGENT_RADIUS,IP_STEP_ISOLATION,active
N08_AGEO_004,Analytical Geometry,M_AGEO_CIRCLE_FORM,IP_STEP_ISOLATION,active
N08_AGEO_005,Analytical Geometry,M_AGEO_ASSUME_QUALITY,IP_STEP_ISOLATION,active
N08_EUCL_001,Euclidean Geometry,M_EUCL_NO_REASON,IP_SELF_EXPLANATION,active
N08_EUCL_002,Euclidean Geometry,M_EUCL_THEOREM_CONVERSE,IP_STEP_ISOLATION,active
N08_EUCL_003,Euclidean Geometry,M_EUCL_ANGLE_NAMING,IP_REPRESENTATION_SHIFT,active
N08_EUCL_004,Euclidean Geometry,M_EUCL_MISSING_CONSTRUCTION,IP_STEP_ISOLATION,active
N08_EUCL_005,Euclidean Geometry,M_EUCL_UNNECESSARY_CONSTRUCTION,IP_STEP_ISOLATION,active
N08_EUCL_006,Euclidean Geometry,M_EUCL_ASSUME_FROM_DIAGRAM,IP_STEP_ISOLATION,active
N08_EUCL_007,Euclidean Geometry,M_EUCL_SIMILARITY_ORDER,IP_STEP_ISOLATION,active
N08_EUCL_008,Euclidean Geometry,M_EUCL_PROOF_ORDER,IP_STEP_ISOLATION,active
N08_GEN_001,General,M_READ_INSTRUCTION_MISSED,IP_SELF_EXPLANATION,active
N08_GEN_002,General,M_READ_AT_LEAST,IP_SELF_EXPLANATION,active
N08_GEN_003,General,M_PRES_NO_METHOD,IP_SELF_EXPLANATION,active
N08_GEN_004,General,M_PRES_NO_UNITS,IP_SELF_EXPLANATION,active
N08_GEN_005,General,M_PRES_ROUNDING,IP_SELF_EXPLANATION,active
N08_GEN_006,General,M_PRES_ONE_STEP_ONE_LINE,IP_SELF_EXPLANATION,active
