year,paper,question_number,question_title,topic,subquestion_ref,error_text,error_class,cross_topic,diagram_assumption,notation_subtype,source_section,source,raw_char_count,cleaned_char_count,mojibake_cleaned,suggestion_text,avg_performance_pct,avg_topic_v2,priority_band
2014,P1,1,ALGEBRA,ALG,,Candidates wrote down the quadratic formula incorrectly from the information sheet. Some might have learnt the formula incorrectly and did not use the information sheet and this was also noted in the previous diagnostic report. Some candidates substituted the value of 2 instead of –2 for b. A few candidates were unable to write the equation in standard form. 112 REPORT ON NATIONAL SENIOR CERTIFICATE EXAMINATION,procedural,False,False,,errors,DBE diagnostic,419,414,True,,70,ALG,low
2014,P1,1,ALGEBRA,ALG,,"When solving exponential equations, candidates displayed no understanding of the basic exponential laws and struggled to manipulate expressions involving the addition and subtraction of exponents. Some candidates used incorrect Mathematics and arrived at the correct answer. 2 2 4 2 2 2 2 2 2 4 2       x x x x x They were awarded no marks for this response.",conceptual,False,False,,errors,DBE diagnostic,378,364,True,,70,ALG,low
2014,P1,1,ALGEBRA,ALG,,"Some candidates were unable to simplify the quadratic equation in y correctly. In cases where candidates used the quadratic formula to solve for y ¿rst, they wrote their answers as x = ... instead of y = ... This created confusion when they then tried to solve for x as their answers already indicated solutions for x.",notation,False,False,,errors,DBE diagnostic,333,318,True,,70,ALG,low
2014,P1,1,ALGEBRA,ALG,,Most candidates could obtain the critical values but were unable to provide the solution for the quadratic inequality.,general,False,False,,errors,DBE diagnostic,120,118,True,,70,ALG,low
2014,P1,1,ALGEBRA,ALG,,Candidates did not recall the theory of the nature of roots.,general,False,False,,errors,DBE diagnostic,62,60,True,,70,ALG,low
2014,P1,2,PATTERNS,SEQ,2.2,"In Q2.2, candidates confused the 251st term with the term value of 251. In this question, n was supposed to equal 251 and not Tn. This caused follow-on errors.",general,False,False,,errors,DBE diagnostic,161,159,True,,58,SEQ,medium
2014,P1,2,PATTERNS,SEQ,,"Candidates who made the initial mistake of making Tn = 251, went on to obtain a non-natural number for n. These candidates did not realise their mistake and accepted this value of n as a valid solution.",general,False,False,,errors,DBE diagnostic,204,202,True,,58,SEQ,medium
2014,P1,2,PATTERNS,SEQ,,"Candidates tended to determine the general term of the series easily, but had dif¿culty in writing the series in sigma notation. 113 DIAGNOSTIC REPORT",notation,False,False,,errors,DBE diagnostic,154,150,True,,58,SEQ,medium
2014,P1,2,PATTERNS,SEQ,2.2;2.4,"In Q2.4, candidates again did not use the value of n = 251. Some candidates incorrectly used the decimal number for n obtained in Q2.2.",procedural,False,False,,errors,DBE diagnostic,138,135,True,,58,SEQ,medium
2014,P1,2,PATTERNS,SEQ,2.5,"In Q2.5, candidates struggled to express themselves well when trying to calculate the number of terms divisible by 4. The problem was that a new series needed to be generated in order to calculate the answer correctly. Some candidates simply worked with the multiples of 4, i.e. 4; 8; 12; .",general,False,False,,errors,DBE diagnostic,293,290,True,,58,SEQ,medium
2014,P1,3,PATTERNS,SEQ,3.1.2,"In Q3.1.2, a common error was for candidates to calculate 2a = – 2 instead of 2a = 2.",general,False,False,,errors,DBE diagnostic,87,85,True,,50,SEQ,medium
2014,P1,3,PATTERNS,SEQ,,"In Q 3.1.3, candidates struggled to understand exactly what was required of them. They confused the ¿rst difference of 96 with Tn = 96.",general,False,False,,errors,DBE diagnostic,137,135,True,,50,SEQ,medium
2014,P1,3,PATTERNS,SEQ,3.2.1;3.2.2,"The most common errors in Q3.2.1 and Q3.2.2 were errors in calculation. Moreover, candidates did not follow the instruction to leave their answer in simplest form.",general,False,False,,errors,DBE diagnostic,166,163,True,,50,SEQ,medium
2014,P1,3,PATTERNS,SEQ,3.3,Candidates were unable to devise a strategy to answer Q3.3. Many did not simplify each bracket and were unable to identify the pattern that was created in the process. They also struggled to calculate the last factor of the pattern.,procedural,False,False,,errors,DBE diagnostic,235,232,True,,50,SEQ,medium
2014,P1,4,FUNCTIONS (HYPERBOLA),FUNC,,Candidates were unfamiliar with the format q p x a y   for the hyperbola. This meant that candidates wrote down the incorrect value for p.,procedural,False,False,,errors,DBE diagnostic,146,140,True,,49,FUNC,high
2014,P1,4,FUNCTIONS (HYPERBOLA),FUNC,4.3,"Although Q4.3 was a basic translation question, candidates failed to apply the translation to the graph. Candidates did not write the asymptote as an equation and often gave the answer as only – 6 instead of x = – 6.",procedural,False,False,,errors,DBE diagnostic,218,216,True,,49,FUNC,high
2014,P1,4,FUNCTIONS (HYPERBOLA),FUNC,,Candidates were unable to calculate the coordinates of S on account of poor algebraic manipulation. This meant that candidates could not calculate the distance OS.,general,False,False,,errors,DBE diagnostic,165,163,True,,49,FUNC,high
2014,P1,4,FUNCTIONS (HYPERBOLA),FUNC,4.5,"For the most part, candidates did not understand what was being asked of them in Q4.5. This question required higher-order thinking skills as it involved applying the theory of the nature of roots in a graph question. Candidates failed to make the connection between the given line and the line y = x + k.",procedural,False,False,,errors,DBE diagnostic,309,305,True,,49,FUNC,high
2014,P1,5,FUNCTIONS (EXPONENTIAL AND LOGARITHMIC),FUNC,,"Many candidates did not know how to prove that the value for a was 3. Instead, they used the given value of a in the initial steps of their attempted proof.",conceptual,False,False,,errors,DBE diagnostic,158,156,True,,44,FUNC,high
