document_id,year,paper,question_number,subquestion,marks,question_text,source_type,segmentation_status
2022_nov_p2_exam_maths,2022,P2,1,1.1,2.0,"Calculate the:
1.1.1. Mean number of votes that these 10 learners received",exam,ok
2022_nov_p2_exam_maths,2022,P2,1,1.1.2,1.0,Standard deviation of the number of votes that these 10 learners received,exam,ok
2022_nov_p2_exam_maths,2022,P2,1,1.2,2.0,"The learners who received fewer votes than one standard deviation below the mean
were not invited for an interview. How many learners were invited?",exam,ok
2022_nov_p2_exam_maths,2022,P2,1,1.3,3.0,"Determine the equation of the least squares regression line for the data given in the
table.",exam,ok
2022_nov_p2_exam_maths,2022,P2,1,1.4,2.0,Predict the number of votes that a learner with a popularity score of 72 will receive.,exam,ok
2022_nov_p2_exam_maths,2022,P2,1,1.5,1.0,"Using the scatter plot and table above, provide a reason why:
1.5.1. IQ is nota good indicator of the number of votes that a learner could receive",exam,ok
2022_nov_p2_exam_maths,2022,P2,1,1.5.2,,"The prediction in QUESTION 1.4 is reliable (1)
[12]
Copyright reserved Please turn over

===== Page 4 =====
Mathematics/P2 4 . DBE/November 2022
NSC",exam,missing_marks
2022_nov_p2_exam_maths,2022,P2,2,2.1,1.0,How many people are employed at this company?,exam,ok
2022_nov_p2_exam_maths,2022,P2,2,2.2,1.0,Write down the modal class of the data.,exam,ok
2022_nov_p2_exam_maths,2022,P2,2,2.3,2.0,"How many employees spent more than 22,5% of their monthly salary on fuel?",exam,ok
2022_nov_p2_exam_maths,2022,P2,2,2.4,2.0,"An employee spent R2 400 of his salary on fuel in that particular month. Determine
the monthly salary of this employee if he spends 7% of his salary on fuel.",exam,ok
2022_nov_p2_exam_maths,2022,P2,2,2.5,,"The monthly salaries of these employees remains constant and the number of litres of
fuel used in each month also remains constant. If the fuel price increases from R21,43
per litre to R22,79 per litre at the beginning of the next month, how will the above
ogive change? (2)
[8]
Copyright reserved Please turn over

===== Page 5 =====
Mathematics/P2 5 DBE/November 2022
NSC",exam,missing_marks
2022_nov_p2_exam_maths,2022,P2,3,3.1,,Calculate the:,exam,missing_marks
2022_nov_p2_exam_maths,2022,P2,3,3.1.1,2.0,Gradient of AB,exam,ok
2022_nov_p2_exam_maths,2022,P2,3,3.1.2,2.0,"Size of a (2)
3.1.3. Coordinates of T",exam,ok
2022_nov_p2_exam_maths,2022,P2,3,3.1.4,2.0,Coordinates of S,exam,ok
2022_nov_p2_exam_maths,2022,P2,3,3.2,3.0,Determine the equation of CD inthe form y=mx+c.,exam,ok
2022_nov_p2_exam_maths,2022,P2,3,3.3,,Calculate the:,exam,missing_marks
2022_nov_p2_exam_maths,2022,P2,3,3.3.1,4.0,Sizeof DCA,exam,ok
2022_nov_p2_exam_maths,2022,P2,3,3.3.2,,"Areaof POSC (5)
[20]
Copyright reserved Please turn over

===== Page 6 =====
Mathematics/P2 6 DBE/November 2022
NSC",exam,missing_marks
2022_nov_p2_exam_maths,2022,P2,4,4.1,2.0,Calculate the coordinates of P.,exam,ok
2022_nov_p2_exam_maths,2022,P2,4,4.2,,Determine the equation of:,exam,missing_marks
2022_nov_p2_exam_maths,2022,P2,4,4.2.1,3.0,The circle inthe form (x—a)’ +(y-b) =r’,exam,ok
2022_nov_p2_exam_maths,2022,P2,4,4.2.2,4.0,"KL inthe form y=mx+c (5)
43 For which values of k will y= ~5% +k beasecant to the circle?",exam,ok
2022_nov_p2_exam_maths,2022,P2,4,4.4,,"Points A(t; 4) and B are not shown on the diagram.

From point A, another tangent is drawn to touch the circle with centre M at B.",exam,missing_marks
2022_nov_p2_exam_maths,2022,P2,4,4.4.1,2.0,Show that the length of tangent AB is given by V207+4¢+9.,exam,ok
2022_nov_p2_exam_maths,2022,P2,4,4.4.2,,"Determine the minimum length of AB. (4)

[20]

Copyright reserved Please turn over

===== Page 7 =====
Mathematics/P2 7 DBE/November 2022
NSC",exam,missing_marks
2022_nov_p2_exam_maths,2022,P2,5,5.1,,"Given that /13sinx+3=0, where xe (90° ; 270°).

Without using a calculator, determine the value of:",exam,missing_marks
2022_nov_p2_exam_maths,2022,P2,5,5.1.1,2.0,sin(360° + x),exam,ok
2022_nov_p2_exam_maths,2022,P2,5,5.1.2,2.0,"tanx (3)

5.1.3. cos(180°+ x)",exam,ok
2022_nov_p2_exam_maths,2022,P2,5,5.2,,"Determine the value of the following expression, without using a calculator:

cos(90° + @)

sin(9 - 180°) +3 sin(-0) ©)",exam,missing_marks
2022_nov_p2_exam_maths,2022,P2,5,5.3,6.0,"Determine the general solution of the following equation:

{cosx +2sin x)(3sin 2x -1)=0",exam,ok
2022_nov_p2_exam_maths,2022,P2,5,5.4,4.0,"Given the identity: cos(x + y).cos(x— y) =1-sin? x—sin’ y

5.4.1. Prove the identity.",exam,ok
2022_nov_p2_exam_maths,2022,P2,5,5.4.2,3.0,"Hence, determine the value of 1-—sin* 45°-sin?15°, without using a

calculator.",exam,ok
2022_nov_p2_exam_maths,2022,P2,5,5.5,,Consider the trigonometric expression: 16sinx.cos’ x —8sinx.cosx,exam,missing_marks
2022_nov_p2_exam_maths,2022,P2,5,5.5.1,4.0,Rewrite the expression as a single trigonometric ratio.,exam,ok
