year,document_id,paper,question_number,subquestion,marks,question_text,segmentation_status
2019,2019_nov_p1_exam_maths,P1,1,1.1,,Solve for x:,stem
2019,2019_nov_p1_exam_maths,P1,1,1.1.1,3.0,x? +5x-6=0,ok
2019,2019_nov_p1_exam_maths,P1,1,1.1.2,3.0,4x*+3x-5=0 (correct to TWO decimal places),ok
2019,2019_nov_p1_exam_maths,P1,1,1.1.3,4.0,"4x? -1<0 (3)
114 (Vv32 + x | \v32 - x] =x",ok
2019,2019_nov_p1_exam_maths,P1,1,1.2,5.0,"Solve simultaneously for x and y:
ytx=12 and xy=14-3x",ok
2019,2019_nov_p1_exam_maths,P1,1,1.3,,"Consider the product 1x2x3x4x... x 30.
Determine the largest value of k such that 3° is a factor of this product. (4)
[22]",missing_marks
2019,2019_nov_p1_exam_maths,P1,2,2.1,,Given the quadratic sequence: 321 ; 290 ; 261 ; 234; ....,stem
2019,2019_nov_p1_exam_maths,P1,2,2.1.1,2.0,Write down the values of the next TWO terms of the sequence.,ok
2019,2019_nov_p1_exam_maths,P1,2,2.1.2,4.0,"Determine the general term of the sequence in the form J, = an’ +bnt+c.",ok
2019,2019_nov_p1_exam_maths,P1,2,2.1.3,4.0,Which term(s) of the sequence will have a value of 74?,ok
2019,2019_nov_p1_exam_maths,P1,2,2.1.4,,"Which term in the sequence has the least value? (2)
. . ; 5 5 5",missing_marks
2019,2019_nov_p1_exam_maths,P1,2,2.2,,"Given the geometric series: — +—+—~—+...=K
8 16 32",stem
2019,2019_nov_p1_exam_maths,P1,2,2.2.1,3.0,Determine the value of K ifthe series has 21 terms.,ok
2019,2019_nov_p1_exam_maths,P1,2,2.2.2,,"Determine the largest value of n for which 7, > a (4)
[19]
Copyright reserved Please turn over

===== Page 4 =====
Mathematics/P 1 4 DBE/November 2019
NSC",missing_marks
2019,2019_nov_p1_exam_maths,P1,3,3.1,,"Without using a calculator, determine the value of: y— — > — (3)
y=3 ye 2 y=3 Y -1",missing_marks
2019,2019_nov_p1_exam_maths,P1,3,3.2,,"A steel pavilion at a sports ground comprises of a series of 12 steps, of which the first
3 are shown in the diagram below.
Each step is 5m wide. Each step has a rise of ; m and has a tread of ; m, as
shown in the diagram below.
3 y
The open side (shaded on sketch) on each side of the pavilion must be covered with
metal sheeting. Calculate the area (in m7) of metal sheeting needed to cover both
open sides. (6)
[9]
Copyright reserved Please turn over

===== Page 5 =====
Mathematics/P1 5 DBE/November 2019
NSC",missing_marks
2019,2019_nov_p1_exam_maths,P1,4,4.1,1.0,Write down the value of p.,ok
2019,2019_nov_p1_exam_maths,P1,4,4.2,3.0,Show that a=3 and b=2.,ok
2019,2019_nov_p1_exam_maths,P1,4,4.3,4.0,Calculate the coordinates of C.,ok
2019,2019_nov_p1_exam_maths,P1,4,4.4,2.0,Write down the range of f,ok
2019,2019_nov_p1_exam_maths,P1,4,4.5,3.0,"Determine the equation of the line through C that makes an angle of 45° with the
positive x-axis. Write your answer in the form y=...",ok
2019,2019_nov_p1_exam_maths,P1,4,4.6,2.0,"Is the straight line, determined in QUESTION 4.5, a tangent to /? Explain
your answer.",ok
2019,2019_nov_p1_exam_maths,P1,4,4.7,,"The function h(x) =f(m—x)+q has only one x-intercept at x= 0. Determine the
values of m and q. (4)
[19]
Copyright reserved Please turn over

===== Page 6 =====
Mathematics/P 1 6 DBE/November 2019
NSC",missing_marks
2019,2019_nov_p1_exam_maths,P1,5,5.1,2.0,Determine the value of &.,ok
