document_id,year,paper,document_type,source_text_file,extraction_quality,question_number,subquestion,marks,marks_all_found,question_text,question_char_count,segment_index,segmentation_status,question_id,topic,subtopic,mapping_method,rule_id,mapping_confidence,taxonomy_version
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,1.0,1.1,3.0,[3],"1.1 Solve for x:

11.1 x +x-12=0 (3)",36.0,1.0,ok,2023_nov_p1_exam_maths__Q1__1.1,Algebra & Equations,Quadratic equations,rule,alg,medium,v1.2
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,1.0,1.1.2,4.0,[4],1.1.2 3x*-2x=6 (answers correct to TWO decimal places) (4),58.0,2.0,ok,2023_nov_p1_exam_maths__Q1__1.1.2,Algebra & Equations,Quadratic equations,context_inherit,inherit_prev_subq,medium,v1.2
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,1.0,1.1.3,4.0,[4],1.1.3 V2xt+1 =x-1 (4),21.0,3.0,ok,2023_nov_p1_exam_maths__Q1__1.1.3,Algebra & Equations,Quadratic equations,context_inherit,inherit_prev_subq,medium,v1.2
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,1.0,1.1.4,4.0,[4],1.1.4 x? -3>2x (4),18.0,4.0,ok,2023_nov_p1_exam_maths__Q1__1.1.4,Algebra & Equations,Quadratic equations,context_inherit,inherit_prev_subq,medium,v1.2
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,1.0,1.2,5.0,[5],"1.2 Solve for x and y simultaneously:

x+2=2y and Iytly

x y (5)",64.0,5.0,ok,2023_nov_p1_exam_maths__Q1__1.2,Algebra & Equations,Quadratic equations,rule,alg,medium,v1.2
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,1.0,1.3,4.0,[4],"1.3 Given: 2”*1 +2"" =3""'? 3” where m and n are integers.

Determine the value of m+ n. (4)

[24]

Copyright reserved Please turn over

Mathematics/P1 4 DBE/November 2023

NSC",174.0,6.0,ok,2023_nov_p1_exam_maths__Q1__1.3,Algebra & Equations,Quadratic equations,context_inherit,inherit_prev_subq,medium,v1.2
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.1.1,3.0,[3],"2.1.1 Determine the value of Ty, (3)",36.0,2.0,ok,2023_nov_p1_exam_maths__Q2__2.1.1,Algebra & Equations,Quadratic equations,context_inherit,inherit_prev_subq,medium,v1.2
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.1.2,,[],"2.1.2 Calculate S,, 2)",22.0,3.0,ok,2023_nov_p1_exam_maths__Q2__2.1.2,Algebra & Equations,Quadratic equations,context_inherit,inherit_prev_subq,medium,v1.2
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.1.3,3.0,[3],"2.1.3 Calculate the value of n for which T, =517 (3)",52.0,4.0,ok,2023_nov_p1_exam_maths__Q2__2.1.3,Algebra & Equations,Quadratic equations,context_inherit,inherit_prev_subq,medium,v1.2
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.2,,[],"2.2 The following information is given about a quadratic number pattern:

T, =3, T,-T, =9 and T,-T, =21",103.0,5.0,ok,2023_nov_p1_exam_maths__Q2__2.2,Algebra & Equations,Quadratic equations,context_inherit,inherit_prev_subq,medium,v1.2
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.2.1,2.0,[2],"2.2.1 Show that 7,=111 (2)",26.0,6.0,ok,2023_nov_p1_exam_maths__Q2__2.2.1,Algebra & Equations,Quadratic equations,context_inherit,inherit_prev_subq,medium,v1.2
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.2.2,,[],"2.2.2 Show that the general term of the quadratic pattern is T,, = 6n? —9n+6 ()",79.0,7.0,ok,2023_nov_p1_exam_maths__Q2__2.2.2,Algebra & Equations,Quadratic equations,context_inherit,inherit_prev_subq,medium,v1.2
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.2.3,16.0,"[3, 16]","2.2.3 Show that the pattern is increasing for all ne N. (3)
[16]",64.0,8.0,ok,2023_nov_p1_exam_maths__Q2__2.2.3,Algebra & Equations,Quadratic equations,context_inherit,inherit_prev_subq,medium,v1.2
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,3.0,3.1.1,,[],"3.1.1 Write down the general term of this series. qd)
k",55.0,2.0,ok,2023_nov_p1_exam_maths__Q3__3.1.1,Algebra & Equations,Quadratic equations,context_inherit,inherit_prev_subq,medium,v1.2
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,3.0,3.1.2,4.0,[4],"3.1.2 Calculate the value of k such that: >50y = 98 301 (4)
p=l",63.0,3.0,ok,2023_nov_p1_exam_maths__Q3__3.1.2,Algebra & Equations,Quadratic equations,context_inherit,inherit_prev_subq,medium,v1.2
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,3.0,3.2,10.0,"[5, 10]","3.2 A geometric sequence and an arithmetic sequence have the same first term.

e The common ratio of the geometric sequence is 3

The common difference of the arithmetic sequence is 3
The sum of 22 terms of the arithmetic sequence is 734 more than the sum to
infinity of the geometric sequence.

Calculate the value of the first term. (5)
[10]

Copyright reserved Please turn over

Mathematics/P 1 5 DBE/November 2023
NSC",421.0,4.0,ok,2023_nov_p1_exam_maths__Q3__3.2,Number Patterns & Sequences,Arithmetic sequences,rule,seq,high,v1.2
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,4.0,4.1,1.0,[1],4.1 Write down the equation of the asymptote of /. (1),54.0,1.0,ok,2023_nov_p1_exam_maths__Q4__4.1,Functions & Graphs,Graph interpretation,rule,fn,high,v1.2
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,4.0,4.2,2.0,[2],4.2 Determine the coordinates of B. (2),39.0,2.0,ok,2023_nov_p1_exam_maths__Q4__4.2,Functions & Graphs,Graph interpretation,context_inherit,inherit_prev_subq,medium,v1.2
2023_nov_p1_exam_maths,2023,P1,exam,data\processed\ocr\text\2023_nov_p1_exam_maths_ocr.txt,ocr_good,4.0,4.3,3.0,"[3, 3]","4.3 Determine the equation of k, a straight line passing through A and B in the form

Kx) =... (3)
44 Calculate the vertical distance between & and f at x=1 (3)",160.0,3.0,ok,2023_nov_p1_exam_maths__Q4__4.3,Functions & Graphs,Graph interpretation,context_inherit,inherit_prev_subq,medium,v1.2
