year,paper,question_number,subquestion,expected_answer,question_text_short
2025,P1,1,1.1.1,✓ x = − 5           x = − 5  or  x = 2,1       ( x + 5 )( x − 2 ) = 0
2025,P1,1,1.1.2,"x = − 0,26  or  x = − 1,54                ✓ answer",2     5 x 2 + 2 = − 9 x
2025,P1,1,1.1.3,x  0  or  x                      ✓✓ answer,3     8 x 2  2 x
2025,P1,1,1.1.4,OR/OF                               OR/OF,4      2.2 2 x − 9.2 x + 4 = 0
2025,P1,2,2.2, x = −1 or  x = 2                   ✓ answer,2.2 2 x − 9.2 x + 4 = 0
2025,P1,1,1.1.5,OR/OF                               OR/OF,5             1       1
2025,P1,1,1.2,x = −   or  x = 3                    ✓ x-values,2       x = y + 2      …..(1)                  ✓ x = y + 2
2025,P1,2,2.1.1,=t  − 2,1       (10 + t ) + ( t − 2 ) + ( t + 4 )
2025,P1,2,2.1.2,T25 = (128 )   or T25 = ( 2 097 152 )                                                                                               (3),2     8 ; − 4 ; ...                                        ✓8 and − 4
2025,P1,2,2.1.3,"S=   = 5,33                     ✓ answer              3",3     S =
2025,P1,2,2.2.1,Copyright reserved/Kopiereg voorbehou                                        Please turn over/Blaai om asseblief,1    T14 − T6
2025,P1,2,2.2.2,Copyright reserved/Kopiereg voorbehou                                        Please turn over/Blaai om asseblief,2     n = 118 − k                       ✓ number of terms
2025,P1,3,3.1,T5 = 164                                    ✓ answer          (2),1       36  ; 71  ; 104  ;  135    ;  164
2025,P1,3,3.2,nT = − n 2 + 38n − 1,2      2 a = − 2                                    ✓ 2 a = − 2
2025,P1,3,3.3,OR/OF       OR/OF,3         − 38         n =     = 19                       ✓ method
2025,P1,3,3.4,n = 35                                                                                               (2),4      n + 3                            ✓ method            = 19
2025,P1,4,4.1,4.1       t = log 1 3,1       t = log 1 3
2025,P1,4,4.3,y = log 1 x,3        f ( x ) = log 1 x
2025,P1,4,4.4,4.4     y = 0                               ✓ answer,4     y = 0                               ✓ answer
2025,P1,4,4.6,Copyright reserved/Kopiereg voorbehou                                        Please turn over/Blaai om asseblief,6     (4 ; 3) is a point on h
2025,P1,5,5.3.1,5.3.1    3  x  5  OR/OF x ( 3;5                ✓✓ answer,1    3  x  5  OR/OF x ( 3;5                ✓✓ answer
2025,P1,5,5.3.2,5.3.2     x  1  or  x  5 OR/OF x−(    ;1) or x ( 5;  )    ✓ x  1,2     x  1  or  x  5 OR/OF x−(    ;1) or x ( 5;  )    ✓ x  1
2025,P1,5,5.4,1   2      7          y = −  x + 3 x +,4      y = a ( x − 3) 2 + 8                       ✓ p and q values
2025,P1,5,5.5,x = 7    or   x = −1                    ✓ x-values,5          1   2      7          y = −  x + 3 x +
2025,P1,5,5.6,Copyright reserved/Kopiereg voorbehou                                        Please turn over/Blaai om asseblief,6             1   2      7                 f ( x ) = −  x + 3 x +
2025,P1,6,6.2,q = − 1,2    g ( x ) = x + c
2025,P1,6,6.3,Copyright reserved/Kopiereg voorbehou                                        Please turn over/Blaai om asseblief,3    Translation of 1 unit down                  ✓✓ answer
2025,P1,7,7.1,"A = R58 230,94                       ✓ answer",1                         n      A = P (1 + i )
2025,P1,7,7.2,OR/OF                                  OR/OF,2                          n
2025,P1,7,7.3.1,7.3.1   A = P (1 + i )n,1   A = P (1 + i )n
2025,P1,7,7.3.2,Copyright reserved/Kopiereg voorbehou                                        Please turn over/Blaai om asseblief,2                        12                      ✓ n       P =
2025,P1,8,8.1,= lim ( − 2 ),1              f ( x ) = − 2 x + 3
2025,P1,8,8.2.2,Copyright reserved/Kopiereg voorbehou                                        Please turn over/Blaai om asseblief,2         2 x 4 + 1
2025,P1,9,9.1,x =   or x = 5,1        f ( x ) = x 3 − 8 x 2 + 5 x + 14
2025,P1,9,9.2,OR/OF                                  OR/OF,2        f  //( x ) = 6 x − 16  0                     ✓  f  //( x )
2025,P1,9,9.4,x = 4  or x =,4    3 x 2 − 16 x + 5 = − 11                     ✓ equating
2025,P1,10,10.1,V =     −                                                                       (3),1     2 x + 2 h = 50                         ✓ 2 x + 2 h = 50
2025,P1,10,10.2,Copyright reserved/Kopiereg voorbehou                                        Please turn over/Blaai om asseblief,2                                    /     50 x  3 x 2       V  ( x ) =    −
2025,P1,11,11.1.1,✓ P (Male) =,1   P ( Male and Prefer juice ) = P ( Male )  P ( Prefer juice ) ✓ P ( Mand J ) = P ( M )  P ( J )
2025,P1,11,11.1.2,Copyright reserved/Kopiereg voorbehou                                        Please turn over/Blaai om asseblief,2                                b        P ( Female and like energy drink ) =
2025,P1,11,11.2,Copyright reserved/Kopiereg voorbehou                                        Please turn over/Blaai om asseblief,2        3      1    7                                     3                     ( 3 x ) +  x =                       ✓ 
2025,P1,11,11.3.1,OR/OF                                 OR/OF,1       7.6! = 5 040                        ✓✓ answer
2025,P1,11,11.3.2,Copyright reserved/Kopiereg voorbehou,2       Possible outcomes:
