year,question_number,question_title,error_text_raw,error_text_summary,source,qualitative_severity,topic
2023,1.0,ALGEBRA,"(a) In Q1.1.2 some candidates did not write the equation correctly in standard form, so they incorrectly substituted ‘6’ as the value of c instead of ‘–6’.",,DBE diagnostic,moderate_language,Algebra & Equations
2023,1.0,ALGEBRA,(b) In Q1.1.3 many candidates were able to square the equation correctly but then factorised x2 −4x =0 incorrectly as (x−2)(x+2)=0 . Some divided x2 −4x =0 through by x which meant that the candidate lost a solution to the equation.,,DBE diagnostic,moderate_language,Algebra & Equations
2023,1.0,ALGEBRA,(c) Many candidates struggled to solve the inequality in Q1.1.4 after correctly calculating the critical values. Some candidates drew a sketch but were unable to use it to write down the required answer. Another common error was the incorrect notation in the answer. Candidates wrote the answer as National Senior Certificate 214 Diagnostic Report 2023 – Part 1 x  − 1 or x  3 instead of x  − 1 o r x  3 .,,DBE diagnostic,severe_language,Algebra & Equations
2023,1.0,ALGEBRA,"(d) The simultaneous equation given in fraction form in Q1.2 proved challenging for most candidates. The notion of isolating the one variable and substituting this into the second equation was well understood. However, candidates changed 1 x + 1 y = 1 to −1 −1 x +y =1 and then after substitution incorrectly worked with the exponent of –1.",,DBE diagnostic,moderate_language,Algebra & Equations
2023,1.0,ALGEBRA,"(e) In Q1.3 many candidates were able to write the exponents with separate bases, i.e. 2 m . 2 + 2 m = 3 n . 3 2 − 3 n Mathematics P1 100% 89% 88% 90% 84% 83% 80% 79% 80% 74% 77% 70% % 70% 65% e 62% 63% 63% 63% c 60% n a m 60% 55% 57% 54% 52% r o 50% 47% 45% f 42% 42% r e p .e 40% 32% 35% 36% 33% 31% 28% v 30% A 19% 18% 20% 20% 16% 14% 15% 10% 8% 2% 0% 1.1 1.3 2.2 3.2 4.2 4.4 4.6 5.1 5.3 5.5 5.7 6.2 7.1 7.3 8.2 8.4 9.1 10.1 10.3 Sub-question . However, some failed to factorise the resulting expression correctly, i.e. 2m.(2+1)=3n. ( 32 −1 ). The majority of the candidates just worked with Mathematics the exponents and this resulted in an equation National Senior Certificate 215 Diagnostic Report 2023 – Part 1 m + 1 + m = n + 2 − n which did not lead them to solving the given problem.",,DBE diagnostic,severe_language,Algebra & Equations
2023,2.0,PATTERNS,(a) The most common errors in Q2.1 and its sub-questions were the use of incorrect formulae (i.e. T n =a(n−1)d rather than T n =a+(n−1)d) or incorrect substitution of n T S as n or n. Mathematics,,DBE diagnostic,moderate_language,Number Patterns & Sequences
2023,2.0,PATTERNS,"(b) Many candidates substituted n = 5 into the given National Senior Certificate 216 Diagnostic Report 2023 – Part 1 T n formula in Q2.1.2 to answer Q2.1.1 rather than developing the quadratic pattern. The candidates knew how to develop the pattern as this was well done in Q2.1.2, when asked to show that the quadratic pattern had a general term of T n = 6 n 2 − 9 n + 6 , but the link was not made between determining the formula of a quadratic pattern and generation of the quadratic pattern.",,DBE diagnostic,moderate_language,Number Patterns & Sequences
2023,2.0,PATTERNS,(c) In Q2.2.3 most candidates could not show that the pattern was increasing for all natural numbers. They were not able to manipulate the quadratic pattern as a quadratic function to provide the argument of where the axis of symmetry of the pattern was.,,DBE diagnostic,severe_language,Number Patterns & Sequences
2023,3.0,PATTERNS,"(a) Candidates were correctly able to determine the general term, however, most candidates incorrectly simplified T n = 3 . 2 n − 1 to T n = 6 n − 1 . This did not impact the candidates in Q3.1.1 but did impact the candidates’ ability to correctly solve Q3.1.2.",,DBE diagnostic,moderate_language,Number Patterns & Sequences
2023,3.0,PATTERNS,"(b) Many candidates did not make the link between n and k in the sigma notation in Q3.1.2. The candidates also showed little understanding of how to generate a series from sigma notation to identify the a and the r values. Further to this, some candidates substituted the calculated information into T rather than S . n n Mathematics",,DBE diagnostic,moderate_language,Number Patterns & Sequences
2023,3.0,PATTERNS,(c) Most candidates were unable to answer Q3.2 correctly. The interpretation of ‘The sum of 22 terms of the arithmetic series is 734 more than the sum to infinity of the geometric sequence’ was incorrectly translated to S =734. 22,,DBE diagnostic,severe_language,Number Patterns & Sequences
2023,4.0,FUNCTIONS (EXPONENTIAL AND LOGARITHMIC GRAPH),"(a) Many candidates did not calculate the coordinates of the x-intercept, A, correctly in Q4.3 which resulted in an incorrect equation of the straight line.",,DBE diagnostic,moderate_language,Functions & Graphs
2023,4.0,FUNCTIONS (EXPONENTIAL AND LOGARITHMIC GRAPH),(b) Most candidates did not understand the concept of vertical distance in Q4.4. The candidates substituted incorrect points into the distance formula in an attempt to calculate any distance.,,DBE diagnostic,severe_language,Functions & Graphs
2023,4.0,FUNCTIONS (EXPONENTIAL AND LOGARITHMIC GRAPH),(c) In Q4.4 some candidates left their answer for the vertical distance between the functions at x = 1 as a negative value.,,DBE diagnostic,moderate_language,Functions & Graphs
2023,4.0,FUNCTIONS (EXPONENTIAL AND LOGARITHMIC GRAPH),"(d) The majority of candidates did not realise that the given function had a restricted domain which in turn meant the inverse of the given function would have a restricted domain. The candidates had learnt that the domain of the inverse was x 0, which is true for an unrestricted logarithm function.",,DBE diagnostic,severe_language,Functions & Graphs
2023,5.0,FUNCTIONS (HYPERBOLA AND PARABOLA),"(a) In Q5.4 many candidates forgot the restriction of the horizontal asymptote on the range of the function, possibly because it was the x-axis and visually drawn on the graph as an asymptote.",,DBE diagnostic,moderate_language,Functions & Graphs
2023,5.0,FUNCTIONS (HYPERBOLA AND PARABOLA),(b) Most candidates were unable to interpret Q5.5 correctly from the given graph. Many tried to solve the inequality algebraically and others did not take cognisance of the vertical asymptote of the hyperbola.,,DBE diagnostic,severe_language,Functions & Graphs
2023,5.0,FUNCTIONS (HYPERBOLA AND PARABOLA),(c) The majority of candidates did not understand the terminology ‘will not intersect’ and tried to solve for National Senior Certificate 218 Diagnostic Report 2023 – Part 1 − 2 x + k  8 x or − 2 x + k  8 k which led them to incorrect solutions and misinterpretation of the question. The integration of nature of roots into functions was not commonly understood by candidates.,,DBE diagnostic,severe_language,Functions & Graphs
2023,5.0,FUNCTIONS (HYPERBOLA AND PARABOLA),(d) Q5.7 was not understood by many candidates. The link between Q5.6 and Q5.7 was not seen by the candidates which resulted in very few candidates attempting to answer this question.,,DBE diagnostic,severe_language,Functions & Graphs
2023,6.0,FINANCE,"(a) In Q6.1 many of the candidates who did not solve for the value of r, did not use the value of n as 6. Generally, candidates found it difficult to deal with months if they 1 were not a multiple of 12. Some candidates used n = while many used 72 months. 2",,DBE diagnostic,moderate_language,Finance
2023,6.0,FINANCE,(b) In Q6.1 it was a common error for candidates not to divide the rate by 12 in the formula to calculate the nominal interest rate correctly.,,DBE diagnostic,moderate_language,Finance
2023,6.0,FINANCE,"(c) Many candidates used the incorrect formulae in all questions related to financial mathematics. In addition, the candidates commonly did not use their calculator correctly to calculate the final answer. Mathematics",,DBE diagnostic,moderate_language,Finance
2023,6.0,FINANCE,(d) In Q6.2.2 many candidates used the present value formula rather than the future value formula.,,DBE diagnostic,moderate_language,Finance
2023,6.0,FINANCE,"(e) Most candidates in Q6.3 did not use logarithms correctly, and if they did, the candidates rounded their answer of n = 147,8 to n = 148. This indicated a misconception of the number of withdrawals of R20 000 that could have been made.",,DBE diagnostic,mentioned,Finance
2023,7.0,CALCULUS,(a) In Q7.1 some candidates made the following notational errors: National Senior Certificate 219 Diagnostic Report 2023 – Part 1 lim h → 0 = f ( x + h ) h − f ( x ) or left out the limit of h altogether. They lost a mark for these errors. Other candidates made errors in substitution.,,DBE diagnostic,moderate_language,Calculus
2023,7.0,CALCULUS,(b) In Q7.2.2 candidates incorrectly changed 7 . 3 x 2 3 to 7x2 instead of 7 x 23 .,,DBE diagnostic,moderate_language,Calculus
2023,7.0,CALCULUS,"(c) When answering Q7.3, many candidates calculated the first derivatives correctly. However, they did not understand how to solve the inequality x 2  4 3 , partly because the square root of 4 3 is not a rational number and partly because of a lack of understanding of how to work with inequalities.",,DBE diagnostic,severe_language,Calculus
2023,8.0,CALCULUS,"(a) Some candidates did not realise that the function in Q8.1 was already factorised for them. They expanded the factors and equated to the left side. Instead of getting zero, they created another function. These candidates also solved for the x-intercepts rather than the x-coordinates of the turning points first.",,DBE diagnostic,moderate_language,Calculus
2023,8.0,CALCULUS,(b) In Q8.1 candidates did not equate the derivative to 0 explicitly. Some candidates only worked out the x values without calculating the corresponding y values. This led to an incorrect graph in Q8.2. Other candidates attempted to use the quadratic equation principle of National Senior Certificate 220 Diagnostic Report 2023 – Part 1 x = − b a 2 to calculate the x-coordinate of the turning point which does not lead to the correct answer in a cubic function.,,DBE diagnostic,moderate_language,Calculus
2023,8.0,CALCULUS,(c) Many candidates did not label the graph in Q8.2 even though it was explicitly asked of them to do so. Other candidates could not draw the cubic function and drew a version of a parabola. A common mistake was not indicating the y-intercept.,,DBE diagnostic,severe_language,Calculus
2023,8.0,CALCULUS,(d) In Q8.3 most candidates did not use graphical interpretation to answer this question but rather used quadratic function theory and substituted in b 2 − 4 a c which was incorrect.,,DBE diagnostic,mentioned,Calculus
2023,8.0,CALCULUS,(e) In Q8.4 many candidates substituted into m =   y x to calculate a gradient rather than using calculus methods to solve for the gradient.,,DBE diagnostic,moderate_language,Calculus
2023,8.0,CALCULUS,(f) Many candidates equated m = t a n  where the gradient they had calculated was a negative value. The link that the gradient was positive was not recognised by the candidates.,,DBE diagnostic,moderate_language,Calculus
2023,10.0,PROBABILITY,(a) In Q10.1.2 many candidates did not use the probability rule correctly to answer this problem. The theory of P (at least one) = 1 – P(A and B) was incorrectly used.,,DBE diagnostic,moderate_language,Probability
2023,10.0,PROBABILITY,(b) Most candidates who calculated a probability that was greater than 1 did not realise that this could not be correct.,,DBE diagnostic,severe_language,Probability
2023,10.0,PROBABILITY,(c) In answering Q10.2.1 many candidates were unable to correctly draw the tree diagram.,,DBE diagnostic,severe_language,Probability
2023,10.0,PROBABILITY,(d) In Q10.3.2 most candidates did not understand that there were 4 positions for the 5 learners to be seated between the 2 youngest learners. The most common error was 5!  2!. Mathematics,,DBE diagnostic,severe_language,Probability
2023,1.0,DATA HANDLING,(a) When writing the equation in Q1.1 a few candidates interchanged the values of a and b. Some calculated the values of a and b correctly but did not write the required equation or they swopped the values of a and b in the equation. Another common error in this question was that candidates failed to round off their answers for a and b correctly to two decimal places.,,DBE diagnostic,severe_language,Statistics
2023,1.0,DATA HANDLING,(b) In Q1.2 some candidates substituted 550 for y instead of substituting 550 for x.,,DBE diagnostic,moderate_language,Statistics
2023,1.0,DATA HANDLING,"(c) Some candidates rounded off the value of r to 1 instead of 0,98 when answering Q1.3. Candidates should have been aware that 0,98 and 1 have very different meanings when analysing correlation coefficients.",,DBE diagnostic,moderate_language,Statistics
2023,1.0,DATA HANDLING,(d) When answering Q1.4 some candidates either wrote ‘strong’ or ‘positive’ as their answer. Both were unacceptable as they only described one attribute of the correct answer.,,DBE diagnostic,moderate_language,Statistics
2023,1.0,DATA HANDLING,(e) In Q1.5.2 some candidates did not round off their answer correctly to two decimal places.,,DBE diagnostic,moderate_language,Statistics
2023,1.0,DATA HANDLING,(f) Many candidates calculated the standard deviation interval correctly in Q1.5.3 but failed to indicate the number of stops that were less than one standard deviation below the mean. They were not awarded full marks because they did not answer the question completely.,,DBE diagnostic,severe_language,Statistics
2023,2.0,DATA HANDLING,(a) A few candidates calculated the midpoint of the class intervals when answering Q2.1. These candidates were attempting to calculate the estimated mean of the data instead of the cumulative frequencies.,,DBE diagnostic,mentioned,Statistics
2023,2.0,DATA HANDLING,"(b) In Q2.3 many candidates were unable to differentiate between frequency and cumulative frequency. They gave the answer as 13, the frequency of the interval 4 ≤ x < 6, instead of the correct answer of 33.",,DBE diagnostic,severe_language,Statistics
2023,2.0,DATA HANDLING,"(c) In response to Q2.4 reading for meaning proved to be a challenge for many candidates. Some of the candidates who were able to understand the question made careless errors when setting up the equation. They left out the brackets and wrote National Senior Certificate 225 Diagnostic Report 2023 – Part 1  5  1 3 + k 2  instead of 5   1 3 + k 2  . Some candidates failed to realise that the total number of teachers was now 40 + k. Other candidates incorrectly subtracted the frequencies, i.e. 13 – 5, and arrived at the correct answer of 8. They were not awarded any marks for this attempt. A number of candidates only wrote down 8, the correct answer. These candidates were only awarded one mark as there was no working to substantiate their answer.",,DBE diagnostic,severe_language,Statistics
2023,3.0,ANALYTICAL GEOMETRY,(a) In Q3.1 some candidates swopped the x- and y-values around when substituting into the distance formula. Other candidates calculated the gradient of SL instead of the length of SL. Mathematics,,DBE diagnostic,moderate_language,Analytical Geometry
2023,3.0,ANALYTICAL GEOMETRY,(b) In Q3.2 some candidates used the incorrect gradient formula despite it being given on the information sheet. Other candidates swopped the x- and y-values around when substituting into the gradient formula.,,DBE diagnostic,moderate_language,Analytical Geometry
2023,3.0,ANALYTICAL GEOMETRY,"(c) A few candidates only wrote down the value of tan θ when answering Q3.3. They did not continue to calculate the size of θ, as was required in the question. Some 4 candidates incorrectly assumed that the size of θ was . 3",,DBE diagnostic,moderate_language,Analytical Geometry
2023,3.0,ANALYTICAL GEOMETRY,"(d) In response to Q3.4 some candidates calculated NKˆO, instead of LKˆO. Other candidates calculated the gradient correctly but then incorrectly calculated the angle of inclination as a positive angle. National Senior Certificate 226 Diagnostic Report 2023 – Part 1 m L N = − 1 + 4 + 4 2 m L N = − 2 LK ˆ O=63,43 . Other candidates incorrectly assumed that ∆KON was an isosceles triangle.",,DBE diagnostic,moderate_language,Analytical Geometry
2023,3.0,ANALYTICAL GEOMETRY,"(e) Although Q3.5 was well answered by most candidates, some candidates used the gradient of the line perpendicular to SN instead of using the gradient of a line parallel to SN. Some candidates incorrectly assumed that the line passed through S and used the coordinates of S in determining the equation of the line.",,DBE diagnostic,moderate_language,Analytical Geometry
2023,3.0,ANALYTICAL GEOMETRY,"(f) Many candidates attempted to answer Q3.6 by making use of the area rule. In doing so, they made incorrect substitutions into the area rule, i.e. they would substitute the length/s of sides that did not form ∆LSN. Candidates failed to realise that ∆LSN was 1 right- angled and that they could make use of the area formula: Area = baseheight 2 to answer the question. Some candidates incorrectly used SN as the height of the triangle.",,DBE diagnostic,severe_language,Analytical Geometry
2023,3.0,ANALYTICAL GEOMETRY,"(g) In Q3.7 many candidates assumed that P would be the midpoint of SN without first stating that SN is a diameter of the circle. It was critical for candidates to establish that SN was a diameter for P to be the centre of the circle. Some candidates incorrectly assumed that P was the 4th vertex of a rectangle LNSP and calculated the coordinates of P as (6 ; 1). This was incorrect as this point (6 ; 1) was not equidistant from L, S and N.",,DBE diagnostic,moderate_language,Analytical Geometry
2023,3.0,ANALYTICAL GEOMETRY,(h) Most candidates were unable to answer Q3.8 because they were unable to calculate the coordinates of P in Q3.7.,,DBE diagnostic,severe_language,Analytical Geometry
2023,4.0,ANALYTICAL GEOMETRY,"(a) In Q4.1 some candidates solved for x in the equation x2 + y2 =20 and did not give the answer in terms of p, as was required by the question. Some candidates gave their answer as p = ±4, instead of just p = 4.",,DBE diagnostic,moderate_language,Analytical Geometry
2023,4.0,ANALYTICAL GEOMETRY,"(b) In Q4.2 some candidates calculated the midpoint of DE, instead of using the midpoint E to calculate the coordinates of F.",,DBE diagnostic,moderate_language,Analytical Geometry
2023,4.0,ANALYTICAL GEOMETRY,"(c) Many candidates answered Q4.3 correctly. Those who did not obtain full marks made basic algebraic mistakes, e.g. not changing a sign of a term when transposing it.",,DBE diagnostic,moderate_language,Analytical Geometry
2023,4.0,ANALYTICAL GEOMETRY,"(d) Most candidates were unable to answer Q4.4 correctly. Many candidates calculated the x-intercept of DF, namely 5, and gave that as the answer to the x-coordinate of the centre of the bigger circle. Some candidates displayed poor algebraic skills when solving for t as shown below: National Senior Certificate 227 Diagnostic Report 2023 – Part 1 0 t − − − t − 6 8 8 = = − 2 − 1 1 2 This question could be answered by using the fact that the tangent is perpendicular to the radius. However, candidates attempted much more complicated methods and made many incorrect assumptions and errors in their calculations.",,DBE diagnostic,severe_language,Analytical Geometry
2023,4.0,ANALYTICAL GEOMETRY,(e) Candidates who could not answer Q4.4 were unable to attempt Q4.5 because they did not have the coordinates of G at their disposal. Some candidates incorrectly stated that the radius of the bigger circle was 0.,,DBE diagnostic,severe_language,Analytical Geometry
2023,4.0,ANALYTICAL GEOMETRY,"(f) Very few candidates were able to answer Q4.6 correctly. A contributing factor for this was that candidates needed to have answered Q4.4 and Q4.5 to attempt Q4.6. Some candidates knew that for circles to touch internally the distance between their centres must be equal to the difference between the lengths of their radii. They wrote down this distance. However, this question asked for more than that, namely, how far to translate the smaller circle to touch the larger circle internally. These candidates could not link the distance that they calculated with the required answer. Mathematics",,DBE diagnostic,severe_language,Analytical Geometry
2023,5.0,TRIGONOMETRY,"(a) Many candidates were unable to identify the quadrant correctly, and therefore used x=+2 2 instead of x=−2 2 throughout Q5.1. Some candidates ignored the instruction to not use a calculator and gave decimal answers to the trigonometric ratios. They were penalised for this.",,DBE diagnostic,severe_language,Trigonometry
2023,5.0,TRIGONOMETRY,(b) In Q5.1.2 some candidates were unable to write the expansion for sin 2β correctly despite it being given in the information sheet. Instead they incorrectly wrote the expansion for sin 2β as 2sin β.,,DBE diagnostic,severe_language,Trigonometry
2023,5.0,TRIGONOMETRY,"(c) When answering Q5.1.3 some candidates were not able to reduce National Senior Certificate 228 Diagnostic Report 2023 – Part 1 c o s ( 4 5 0 )   − correctly to sin β, i.e. they were unable to deal correctly with an angle greater than 360° as well as a co-ratio. A common incorrect response that showed a lack of understanding of compound angles was: c c 0 - o s o s - c o ( 4 5 4 5 0 c o s β s β 0 ° ° - - c β o ) s β",,DBE diagnostic,severe_language,Trigonometry
2023,5.0,TRIGONOMETRY,"(d) Q5.2.1 was poorly answered by many candidates as they failed to realise that c o s 4 x + s in 2 x . c o s 2 x could be factorised. Some candidates flouted a very basic rule of 1−sin2 x Algebra by cancelling terms of an expression: =1−sinx. Although these 1+sinx candidates arrived at the correct answer, they were not awarded any marks. Instead, they should have factorised the numerator and then cancelled factors as shown: 1 1 − + s i n s i n 2 x x = ( 1 − s i n 1 x + ) s ( 1 i n + x s i n x ) = 1 − s i n x .",,DBE diagnostic,severe_language,Trigonometry
2023,5.0,TRIGONOMETRY,"(e) In Q5.2.2 many candidates left their answers as a general solution, instead of the specific solution in the given interval. Some candidates included the reference angle Mathematics of 90° as a solution.",,DBE diagnostic,moderate_language,Trigonometry
2023,5.0,TRIGONOMETRY,(f) Many candidates did not respond to Q5.2.3 because they could not link the given expression to the sine graph.,,DBE diagnostic,severe_language,Trigonometry
2023,5.0,TRIGONOMETRY,(g) In Q5.3.1 almost all candidates were unable to use the expansion for cos (A – B) to derive the expansion for sin (A – B).They had no idea how to begin with this derivation.,,DBE diagnostic,severe_language,Trigonometry
2023,5.0,TRIGONOMETRY,(h) In Q5.3.2 some candidates incorrectly considered sin48°cosx – cos48°sinx to be the expansion for the cosine compound angle instead of the sine compound angle. This lead to the incorrect general solution for x.,,DBE diagnostic,moderate_language,Trigonometry
