document_id,year,paper,question_number,subquestion,marks,question_text,source_type,segmentation_status,topic_v2,subtopic_v2,mapping_method_v2,mapping_confidence_v2,signature_id_v2,_source,inherited_v2,inherited_from_v2
2022_nov_p1_exam_maths,2022,P1,1,1.1,,Solve for x:,exam,missing_marks,ALG,,signature,high,nsc_solve_x,path_a,False,
2022_nov_p1_exam_maths,2022,P1,1,1.1.1,2.0,(3x — 6)(x + 2)=0,exam,ok,,,unmapped,,,path_a,False,
2022_nov_p1_exam_maths,2022,P1,1,1.1.2,3.0,2x* —6x+1=0 (correct to TWO decimal places),exam,ok,ALG,,struct,high,STRUCT_ALG,path_a,False,
2022_nov_p1_exam_maths,2022,P1,1,1.1.3,4.0,x? -90>x,exam,ok,ALG,,struct,high,STRUCT_ALG,path_a,False,
2022_nov_p1_exam_maths,2022,P1,1,1.1.4,4.0,x—7x =-12,exam,ok,,,unmapped,,,path_a,False,
2022_nov_p1_exam_maths,2022,P1,1,1.2,,"Solve for x and y simultaneously:
2x-y=2",exam,missing_marks,ALG,,signature,high,nsc_solve_x,path_a,False,
2022_nov_p1_exam_maths,2022,P1,1,1.3,,"Show that 2.5” ~5”*'+5""*? is even for all positive integer values of 7. (3)
aut",exam,missing_marks,,,unmapped,,,path_a,False,
2022_nov_p1_exam_maths,2022,P1,1,1.4,25.0,Determine the values of x and y if: ria V96* (4),exam,ok,ALG,,signature,high,nsc_simul_x_y,path_a,False,
2022_nov_p2_exam_maths,2022,P2,1,1.1,2.0,"Calculate the:
1.1.1. Mean number of votes that these 10 learners received",exam,ok,STAT,,signature,medium,mean,path_a,False,
2022_nov_p2_exam_maths,2022,P2,1,1.1.2,1.0,Standard deviation of the number of votes that these 10 learners received,exam,ok,STAT,,signature,high,standard_dev,path_a,False,
2022_nov_p2_exam_maths,2022,P2,1,1.2,2.0,"The learners who received fewer votes than one standard deviation below the mean
were not invited for an interview. How many learners were invited?",exam,ok,STAT,,signature,high,standard_dev,path_a,False,
2022_nov_p2_exam_maths,2022,P2,1,1.3,3.0,"Determine the equation of the least squares regression line for the data given in the
table.",exam,ok,STAT,,signature,high,regression,path_a,False,
2022_nov_p2_exam_maths,2022,P2,1,1.4,2.0,Predict the number of votes that a learner with a popularity score of 72 will receive.,exam,ok,STAT,,lexicon,medium,,path_a,False,
2022_nov_p2_exam_maths,2022,P2,1,1.5,1.0,"Using the scatter plot and table above, provide a reason why:
1.5.1. IQ is nota good indicator of the number of votes that a learner could receive",exam,ok,STAT,,lexicon,medium,,path_a,False,
2022_nov_p2_exam_maths,2022,P2,1,1.5.2,,"The prediction in QUESTION 1.4 is reliable (1)
[12]
Copyright reserved Please turn over

===== Page 4 =====
Mathematics/P2 4 . DBE/November 2022
NSC",exam,missing_marks,,,unmapped,,,path_a,False,
2022_nov_p1_exam_maths,2022,P1,2,2.1,,"The first term of a geometric series is 14 and the 6"" term is 448.",exam,missing_marks,SEQ,,signature,high,nsc_geometric_series,path_a,False,
2022_nov_p1_exam_maths,2022,P1,2,2.1.1,2.0,"Calculate the value of the constant ratio, r.",exam,ok,SEQ,,signature,high,nsc_constant_ratio,path_a,False,
2022_nov_p1_exam_maths,2022,P1,2,2.1.2,4.0,"Determine the number of consecutive terms that must be added to the first
6 terms of the series in order to obtain a sum of 114 674.",exam,ok,SEQ,,lexicon,medium,,path_a,False,
2022_nov_p1_exam_maths,2022,P1,2,2.1.3,,"If the first term of another series is 448 and the 6"" term is 14, calculate
the sum to infinity of the new series. (3)
A] 1 1 .",exam,missing_marks,SEQ,,signature,high,sum_to_infinity,path_a,False,
2022_nov_p1_exam_maths,2022,P1,2,2.2,,"If > — p+—|=20—, determine the value of &
pa\3 6 6 (5)
[14]
Copyright reserved Please turn over

===== Page 4 =====
Mathematics/P 1 4 DBE/November 2022
NSC",exam,missing_marks,,,unmapped,,,path_a,False,
2022_nov_p2_exam_maths,2022,P2,2,2.1,1.0,How many people are employed at this company?,exam,ok,,,unmapped,,,path_a,False,
2022_nov_p2_exam_maths,2022,P2,2,2.2,1.0,Write down the modal class of the data.,exam,ok,STAT,,lexicon,medium,,path_a,False,
2022_nov_p2_exam_maths,2022,P2,2,2.3,2.0,"How many employees spent more than 22,5% of their monthly salary on fuel?",exam,ok,,,unmapped,,,path_a,False,
2022_nov_p2_exam_maths,2022,P2,2,2.4,2.0,"An employee spent R2 400 of his salary on fuel in that particular month. Determine
the monthly salary of this employee if he spends 7% of his salary on fuel.",exam,ok,,,unmapped,,,path_a,False,
2022_nov_p2_exam_maths,2022,P2,2,2.5,,"The monthly salaries of these employees remains constant and the number of litres of
fuel used in each month also remains constant. If the fuel price increases from R21,43
per litre to R22,79 per litre at the beginning of the next month, how will the above
ogive change? (2)
[8]
Copyright reserved Please turn over

===== Page 5 =====
Mathematics/P2 5 DBE/November 2022
NSC",exam,missing_marks,STAT,,signature,high,ogive_reading,path_a,False,
2022_nov_p1_exam_maths,2022,P1,3,3.1,2.0,Show that 5 =4.,exam,ok,,,unmapped,,,path_a,False,
2022_nov_p1_exam_maths,2022,P1,3,3.2,2.0,"Determine the value of the 60"" term of this number pattern.",exam,ok,SEQ,,lexicon,medium,,path_a,False,
2022_nov_p1_exam_maths,2022,P1,3,3.3,3.0,"Determine the general term for the sequence of first differences of the quadratic
number pattern. Write your answer in the form 7, = mp +q.",exam,ok,SEQ,,signature,high,nsc_first_difference,path_a,False,
2022_nov_p1_exam_maths,2022,P1,3,3.4,10.0,"Which TWO consecutive terms in the quadratic number pattern have a first difference
of 157? (3)",exam,ok,SEQ,,signature,high,nsc_quadratic_pattern,path_a,False,
2022_nov_p2_exam_maths,2022,P2,3,3.1,,Calculate the:,exam,missing_marks,,,unmapped,,,path_a,False,
2022_nov_p2_exam_maths,2022,P2,3,3.1.1,2.0,Gradient of AB,exam,ok,AGEO,,signature,high,gradient,path_a,False,
2022_nov_p2_exam_maths,2022,P2,3,3.1.2,2.0,"Size of a (2)
3.1.3. Coordinates of T",exam,ok,,,unmapped,,,path_a,False,
2022_nov_p2_exam_maths,2022,P2,3,3.1.4,2.0,Coordinates of S,exam,ok,,,unmapped,,,path_a,False,
2022_nov_p2_exam_maths,2022,P2,3,3.2,3.0,Determine the equation of CD inthe form y=mx+c.,exam,ok,AGEO,,lexicon,medium,,path_a,False,
2022_nov_p2_exam_maths,2022,P2,3,3.3,,Calculate the:,exam,missing_marks,,,unmapped,,,path_a,False,
2022_nov_p2_exam_maths,2022,P2,3,3.3.1,4.0,Sizeof DCA,exam,ok,,,unmapped,,,path_a,False,
2022_nov_p2_exam_maths,2022,P2,3,3.3.2,,"Areaof POSC (5)
[20]
Copyright reserved Please turn over

===== Page 6 =====
Mathematics/P2 6 DBE/November 2022
NSC",exam,missing_marks,,,unmapped,,,path_a,False,
2022_nov_p1_exam_maths,2022,P1,4,4.1,,"Sketched below is the graph of (x)= — +q. The asymptotes of # intersect at
x+p
(13 2),",exam,missing_marks,FUNC,,signature,high,asymptotes,path_a,False,
2022_nov_p1_exam_maths,2022,P1,4,4.1.1,2.0,Write down the values of p and q.,exam,ok,,,unmapped,,,path_a,False,
2022_nov_p1_exam_maths,2022,P1,4,4.1.2,2.0,Calculate the coordinates of the x-intercept of h.,exam,ok,FUNC,,lexicon,medium,,path_a,False,
2022_nov_p1_exam_maths,2022,P1,4,4.1.3,2.0,Write down the x-coordinate of the x-intercept of g if g(x) =h(x +3).,exam,ok,FUNC,,lexicon,medium,,path_a,False,
2022_nov_p1_exam_maths,2022,P1,4,4.1.4,2.0,"The equation of an axis of symmetry of h is y=x++¢. Determine the
value of f.",exam,ok,FUNC,,lexicon,medium,,path_a,False,
2022_nov_p1_exam_maths,2022,P1,4,4.1.5,,"Determine the values of x for which ~2< a
x-1 (3)
Copyright reserved Please turn over

===== Page 5 =====
Mathematics/P 1 5 DBE/November 2022
NSC",exam,missing_marks,,,unmapped,,,path_a,False,
2022_nov_p1_exam_maths,2022,P1,4,4.2,,"The graphs of f(x)=x?—4x—5 and g(x)=a.2""%+q are sketched below.

e E and H are the x-intercepts of f

e C is the y-intercept of f and lies on the asymptote of g.

e The two graphs intersect at D, the turning point of f

y
f
E H
O x
2 IN
Xp",exam,missing_marks,FUNC,,signature,high,asymptotes,path_a,False,
2022_nov_p1_exam_maths,2022,P1,4,4.2.1,1.0,Write down the y-coordinate of C.,exam,ok,FUNC,,lexicon,medium,,path_a,False,
2022_nov_p1_exam_maths,2022,P1,4,4.2.2,2.0,Determine the coordinates of D.,exam,ok,FUNC,,lexicon,medium,,path_a,False,
2022_nov_p1_exam_maths,2022,P1,4,4.2.3,3.0,Determine the values of a and gq.,exam,ok,,,unmapped,,,path_a,False,
2022_nov_p1_exam_maths,2022,P1,4,4.2.4,1.0,Write down the range of g.,exam,ok,FUNC,,signature,high,nsc_range,path_a,False,
2022_nov_p1_exam_maths,2022,P1,4,4.2.5,,"Determine the values of & for which the value of f{x)—k will always be

positive. (2)
[20]

Copyright reserved Please turn over

===== Page 6 =====
Mathematics/P | 6 DBE/November 2022
NSC",exam,missing_marks,,,unmapped,,,path_a,False,
2022_nov_p2_exam_maths,2022,P2,4,4.1,2.0,Calculate the coordinates of P.,exam,ok,,,unmapped,,,path_a,False,
2022_nov_p2_exam_maths,2022,P2,4,4.2,,Determine the equation of:,exam,missing_marks,,,unmapped,,,path_a,False,
2022_nov_p2_exam_maths,2022,P2,4,4.2.1,3.0,The circle inthe form (x—a)’ +(y-b) =r’,exam,ok,AGEO,,signature,high,circle_equation,path_a,False,
