year,paper,question_number,subquestion,topic_v2,mapping_method_v2,question_text,verdict,correct_topic
2014,P1,3.0,3.2,SEQ,signature,"The first three terms of a geometric sequence are: 16; 4; 1
S21 Calculate the value of the 12"" term. (Leave your answer in simplified
exponential form.) (3)
i ae Calculate the sum of the first 10 terms of the sequence.",,
2014,P1,8.0,8.1,CALC,signature,Determine /’(x) from first principles if f(x) = x°.,,
2014,P1,11.0,11.1,PROB,signature,"Determine the probability that a randomly selected staff member:
11,11 Is male",,
2014,P2,3.0,3.4.2,CALC,signature,"The equation of the tangent PB in the form y=mx+c (3)
oT Write down the equation of tangent SKL.",,
2014,P2,1.0,1.4,STAT,signature,"Calculate an equation for the least squares regression line (line of best fit) for the
data. (3)
15 If a candidate from this group scored 60% in the Mathematics examination but was
absent for the Accounting examination, predict the percentage that this candidate
would have scored in the Accounting examination, using your equation in",,
2015,P1,3.0,3.2,SEQ,struct,"Write S, in sigma notation.",,
2015,P1,7.0,7.1,FIN,signature,"How much did Joe pay for the vehicle? (1)
Ted Use the reducing-balance method to calculate the percentage annual rate of
depreciation of the vehicle that Joe bought. (4)
73 If the average rate of the price increase of the vehicle is 8,1% p.a., calculate the value
of a.",,
2015,P1,1.0,1.1,ALG,signature,"Solve for x:
LL x” -9x+20=0",,
2015,P2,9.0,9.4,CALC,signature,"Prove that TA is a tangent to the circle passing through the points A, K and H.",,
2015,P2,8.0,8.1,EUCL,signature,"Inthe diagram below, cyclic quadrilateral ABCD is drawn in the circle with centre O.
A a
(5 |
Cc",,
2016,P1,1.0,1.1,ALG,signature,Solve for x:,,
2016,P1,10.0,10.2,CALC,lexicon,"Determine the rate at which the number of molecules of the drug in the bloodstream is
changing at exactly 2 hours after the drug was taken.",,
2016,P1,11.0,11.1,PROB,signature,"Calculate the values of a and b. (2)
LL Are the events ‘being a male’ and 'did not watch TV during examinations’ mutually
exclusive? Give a reason for your answer. (2)
LL If a learner who participated in this survey is chosen at random, what is the
probability that the learner:",,
