document_id,year,paper,document_type,source_text_file,extraction_quality,question_number,subquestion,marks,marks_all_found,question_text,question_char_count,segment_index,segmentation_status,question_id,topic,subtopic,mapping_method,rule_id,mapping_confidence,taxonomy_version,topic_v2,subtopic_v2,mapping_method_v2,mapping_confidence_v2,signature_id_v2,_source,inherited_v2
2024_nov_p1_exam_maths,2024,P1,exam,data\processed\ocr\text\2024_nov_p1_exam_maths_ocr.txt,ocr_good,1.0,1.1.3,,[],1.1.3 x? -2x-3>0,16.0,2.0,ok,2024_nov_p1_exam_maths__Q1__1.1.3,Trigonometry,Equations,context_inherit,inherit_prev_subq,medium,v1.2,ALG,,struct,high,STRUCT_ALG,mapped_v1,False
2024_nov_p1_exam_maths,2024,P1,exam,data\processed\ocr\text\2024_nov_p1_exam_maths_ocr.txt,ocr_good,1.0,1.1.4,,[],"1.1.4 2% —-2*? -32 =0

115 V-2x4+4-x=2",38.0,3.0,ok,2024_nov_p1_exam_maths__Q1__1.1.4,Trigonometry,Equations,context_inherit,inherit_prev_subq,medium,v1.2,,,unmapped,,,mapped_v1,False
2024_nov_p1_exam_maths,2024,P1,exam,data\processed\ocr\text\2024_nov_p1_exam_maths_ocr.txt,ocr_good,1.0,1.2,,[],"1.2 Solve for x and y simultaneously:

2x+y=3

y +xy=2",54.0,4.0,ok,2024_nov_p1_exam_maths__Q1__1.2,Algebra & Equations,Quadratic equations,rule,alg,medium,v1.2,ALG,,signature,high,nsc_solve_x,mapped_v1,False
2024_nov_p1_exam_maths,2024,P1,exam,data\processed\ocr\text\2024_nov_p1_exam_maths_ocr.txt,ocr_good,1.0,1.3,,[],"1.3 Consider the product f + i 1+ i et we
2 3 4

Each factor in the product is of the form ( + +) for n>2.
n

Determine ALL the values of » for which the product will be an integer value.",187.0,5.0,ok,2024_nov_p1_exam_maths__Q1__1.3,Algebra & Equations,Quadratic equations,context_inherit,inherit_prev_subq,medium,v1.2,,,unmapped,,,mapped_v1,False
2024_nov_p1_exam_maths,2024,P1,exam,data\processed\ocr\text\2024_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.1,,[],"2.1 The first term of an arithmetic series is 7. The common difference of this series is

5 and the series contains 20 terms.",125.0,1.0,ok,2024_nov_p1_exam_maths__Q2__2.1,Number Patterns & Sequences,Arithmetic sequences,rule,seq,high,v1.2,SEQ,,signature,high,nsc_arithmetic_series,mapped_v1,False
2024_nov_p1_exam_maths,2024,P1,exam,data\processed\ocr\text\2024_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.1.1,,[],2.1.1 Calculate the sum of this series.,39.0,2.0,ok,2024_nov_p1_exam_maths__Q2__2.1.1,Number Patterns & Sequences,Arithmetic sequences,context_inherit,inherit_prev_subq,medium,v1.2,SEQ,,lexicon,medium,,mapped_v1,False
2024_nov_p1_exam_maths,2024,P1,exam,data\processed\ocr\text\2024_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.1.2,,[],"2.1.2 The original arithmetic series is extended to 75 terms. The sum of these
75 terms is 14 400. Using sigma notation, write down an equation for the
sum of the terms added to the original series.",198.0,3.0,ok,2024_nov_p1_exam_maths__Q2__2.1.2,Number Patterns & Sequences,Arithmetic sequences,context_inherit,inherit_prev_subq,medium,v1.2,SEQ,,signature,high,nsc_arithmetic_series,mapped_v1,False
2024_nov_p1_exam_maths,2024,P1,exam,data\processed\ocr\text\2024_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.2,,[],2.2 The sequence of the first differences of a quadratic pattern is: 1;3;5;...,78.0,4.0,ok,2024_nov_p1_exam_maths__Q2__2.2,Number Patterns & Sequences,Arithmetic sequences,context_inherit,inherit_prev_subq,medium,v1.2,SEQ,,signature,high,quadratic_pattern,mapped_v1,False
2024_nov_p1_exam_maths,2024,P1,exam,data\processed\ocr\text\2024_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.2.1,,[],"2.2.1 If Ty, of this quadratic pattern is 9 632, calculate the value of 7,,.",76.0,5.0,ok,2024_nov_p1_exam_maths__Q2__2.2.1,Number Patterns & Sequences,Arithmetic sequences,context_inherit,inherit_prev_subq,medium,v1.2,SEQ,,signature,high,quadratic_pattern,mapped_v1,False
2024_nov_p1_exam_maths,2024,P1,exam,data\processed\ocr\text\2024_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.2.2,14.0,"[2, 4, 4, 5, 4, 6, 3, 4, 14]","2.2.2 If it is further given that the third term of the quadratic pattern is 32,
determine the general term, 7, of the quadratic pattern.

Copyright reserved Please turn over

(2).
(4)
(4)
(5)
(4)

(6)

(3)

[27]

2)

(4)

G3)

65)
[14]

Mathematics/P 1 4 DBE/November 2024
NSC Confidential",290.0,6.0,ok,2024_nov_p1_exam_maths__Q2__2.2.2,Number Patterns & Sequences,Arithmetic sequences,context_inherit,inherit_prev_subq,medium,v1.2,SEQ,,signature,high,quadratic_pattern,mapped_v1,False
