year,document_id,paper,question_number,subquestion,marks,question_text,segmentation_status,topic_v2,subtopic_v2,mapping_method_v2,mapping_confidence_v2,signature_id_v2,_source,inherited_v2
2015,2015_nov_p1_exam_maths,P1,1,1.1,3.0,"Solve for x:
LL x” -9x+20=0",stem,ALG,,signature,high,nsc_solve_x,path_a,False
2015,2015_nov_p1_exam_maths,P1,1,1.1.2,,"3x° +5x=4 (correct to TWO decimal places) (4)
=>",missing_marks,,,unmapped,,,path_a,False
2015,2015_nov_p1_exam_maths,P1,1,1.1.3,4.0,24° =64,ok,,,unmapped,,,path_a,False
2015,2015_nov_p1_exam_maths,P1,1,1.1.4,4.0,V2-x=x-2,ok,,,unmapped,,,path_a,False
2015,2015_nov_p1_exam_maths,P1,1,1.1.5,3.0,x°+7x<0,ok,ALG,,struct,medium,STRUCT_ALG,path_a,False
2015,2015_nov_p1_exam_maths,P1,1,1.2,,"Given: (3x- y) +(x-5) =0
Solve for x and y. (4)
L3 For which value of k will the equation x° +x=k have no real roots? (4)
[26]",missing_marks,ALG,,signature,high,nsc_solve_x,path_a,False
2015,2015_nov_p1_exam_maths,P1,2,2.4,,"Determine S,,—S, inthe form ab”, where S, is the sum of the first 1 terms of
the sequence. (4)
[10]
Copyright reserved Please turn over

===== Page 4 =====
Mathematics/P 1 4 DBE/November 2015
NSC",missing_marks,SEQ,,lexicon,medium,,path_a,False
2015,2015_nov_p1_exam_maths,P1,3,3.2,2.0,"Write S, in sigma notation.",ok,SEQ,,struct,high,STRUCT_SEQ,path_a,False
2015,2015_nov_p1_exam_maths,P1,3,3.3,3.0,"Show that S|, =4n* -7n.",ok,,,unmapped,,,path_a,False
2015,2015_nov_p1_exam_maths,P1,3,3.4,,"Another sequence is defined as:
Q, =-6
Os =-H-3
Q, =-6-3+5
Q, =-6-34+5+13
Q, =-6-34+5413+21",stem,SEQ,,lexicon,medium,,path_a,False
2015,2015_nov_p1_exam_maths,P1,3,3.4.1,2.0,"Write down a numerical expression for Q,.",ok,,,unmapped,,,path_a,False
2015,2015_nov_p1_exam_maths,P1,3,3.4.2,12.0,"Calculate the value of Q,,.. (3)",ok,,,unmapped,,,path_a,False
2015,2015_nov_p1_exam_maths,P1,4,4.1,1.0,Write down the equation of the asymptote of f-,ok,FUNC,,signature,high,asymptotes,path_a,False
2015,2015_nov_p1_exam_maths,P1,4,4.2,4.0,"Sketch the graph of f Clearly indicate ALL intercepts with the axes as well as the
asymptote.",ok,FUNC,,signature,high,asymptotes,path_a,False
2015,2015_nov_p1_exam_maths,P1,4,4.3,,"The graph of g is obtained by reflecting the graph of f in the y-axis. Write down
the equation of g. (1)
[6]
Copyright reserved Please turn over

===== Page 5 =====
Mathematics/P 1 5 DBE/November 2015
NSC",missing_marks,FUNC,,lexicon,medium,,path_a,False
2015,2015_nov_p1_exam_maths,P1,5,5.1,2.0,Determine the coordinates of Q.,ok,FUNC,,lexicon,medium,,path_a,False
2015,2015_nov_p1_exam_maths,P1,5,5.2,3.0,Write down the domain of h''.,ok,FUNC,,signature,high,nsc_domain,path_a,False
2015,2015_nov_p1_exam_maths,P1,5,5.3,3.0,"Sketch the graph of /7' in your ANSWER BOOK, clearly indicating the y-intercept
and the end points.",ok,,,unmapped,,,path_a,False
2015,2015_nov_p1_exam_maths,P1,5,5.4,5.0,"For which value(s) of x will h(x)=h""'(x)? (3)
5:5 P(x ; y) is the point on the graph of / that is closest to the origin. Calculate the
distance OP.",ok,AGEO,,signature,high,distance,path_a,False
2015,2015_nov_p1_exam_maths,P1,5,5.6,,"Given: h(x)= f""(x) where f is a function defined for -2<x<4.",stem,,,unmapped,,,path_a,False
2015,2015_nov_p1_exam_maths,P1,5,5.6.1,,"Explain why / has a local minimum. (2)
36,2 Write down the value of the maximum gradient of the tangent to the
graph of 7. (1)
[19]
Copyright reserved Please turn over

===== Page 6 =====
Mathematics/P 1 6 DBE/November 2015
NSC",missing_marks,CALC,,signature,high,tangent_gradient,path_a,False
2015,2015_nov_p1_exam_maths,P1,6,6.1,1.0,"The graphs of f(x)=-2x?+18 and g(x)=ax’?+bx+c are sketched below.
Points P and Q are the x-intercepts of £ Points Q and R are the x-intercepts
of g. S is the turning point of g. T is the y-intercept of both f and g.
J
oh
f
x
P 0 R
S
GAs) Write down the coordinates of T.",stem,ALG,,struct,high,STRUCT_ALG,path_a,False
2015,2015_nov_p1_exam_maths,P1,6,6.12,3.0,Determine the coordinates of Q.,ok,FUNC,,lexicon,medium,,path_a,False
2015,2015_nov_p1_exam_maths,P1,6,6.1.3,2.0,"Given that x = 4,5 at S, determine the coordinates of R.",ok,FUNC,,lexicon,medium,,path_a,False
2015,2015_nov_p1_exam_maths,P1,6,6.1.4,2.0,Determine the value(s) of x for which g”(x)>0.,ok,ALG,,struct,medium,STRUCT_ALG,path_a,False
2015,2015_nov_p1_exam_maths,P1,6,6.2,,"The function defined as_y =“? + q_has the following properties:
x+p
e The domainis xe R, x #-2.
° y=x+6 isan axis of symmetry.
° The function is increasing for all x € R, x + -2.
Draw a neat sketch graph of this function. Your sketch must include the asymptotes,
if any. (4)
[12]
Copyright reserved Please turn over

===== Page 7 =====
Mathematics/P 1 7 DBE/November 2015
NSC",missing_marks,FUNC,,signature,high,asymptotes,path_a,False
2015,2015_nov_p1_exam_maths,P1,7,7.1,3.0,"How much did Joe pay for the vehicle? (1)
Ted Use the reducing-balance method to calculate the percentage annual rate of
depreciation of the vehicle that Joe bought. (4)
73 If the average rate of the price increase of the vehicle is 8,1% p.a., calculate the value
of a.",ok,FIN,,signature,high,nsc_depreciat,path_a,False
2015,2015_nov_p1_exam_maths,P1,7,7.4,,"A vehicle that costs R450 000 now, is to be replaced at the end of 4 years. The old
vehicle will be used as a trade-in. A sinking fund is created to cover the replacement
cost of this vehicle. Payments will be made at the end of each month. The first
payment will be made at the end of the 13"" month and the last payment will be made
at the end of the 48"" month. The sinking fund earns interest at a rate of 6,2% p.a.,
compounded monthly.
Calculate the monthly payment to the fund. (3)
[13]
Copyright reserved Please turn over

===== Page 8 =====
Mathematics/P1 8 DBE/November 2015
NSC",missing_marks,FIN,,signature,high,nsc_compound,path_a,False
2015,2015_nov_p1_exam_maths,P1,8,8.1,,"If f(x) =x° —3x, determine f(x) from first principles. )",missing_marks,CALC,,signature,high,nsc_first_principles,path_a,False
2015,2015_nov_p1_exam_maths,P1,8,8.2,11.0,"Determine:
a5.1 Y i y= [+ -5) (3)
dx x""
x -1
(3)",ok,,,unmapped,,,path_a,False
2015,2015_nov_p1_exam_maths,P1,9,9.1,5.0,Show that a= 5 and b=6.,ok,,,unmapped,,,path_a,False
2015,2015_nov_p1_exam_maths,P1,9,9.2,4.0,"Calculate the average gradient of h between P and Q, if it is given that
x=-latP.",ok,AGEO,,signature,high,gradient,path_a,False
2015,2015_nov_p1_exam_maths,P1,9,9.3,3.0,Show that the concavity of h changes at x= >,ok,,,unmapped,,,path_a,False
2015,2015_nov_p1_exam_maths,P1,9,9.4,,"Explain the significance of the change in QUESTION 9.3 with respect to A. (1)
95 Determine the value of x, given x <0, at which the tangent to h is parallel to g. (4)
[17]
Copyright reserved Please turn over

===== Page 9 =====
Mathematics/P 1 9 DBE/November 2015
NSC",missing_marks,CALC,,signature,high,tangent_gradient,path_a,False
2015,2015_nov_p1_exam_maths,P1,10,10.1,2.0,Determine r in terms of 4. Leave your answer in surd form.,ok,SEQ,,lexicon,medium,,path_a,False
