paper,question_number,subquestion,topic,mapping_method,question_text
P2,5,5.2,Trigonometry,keyword,"Prove the identity: —————__————- = 2cosx-1 (4)
1 ~cos(540° — x)"
P2,9,9.2,Unmapped,no_match,"Calculate, giving reasons, the size of:"
P1,8,8.3,Finance,inherited,Thabo wanted to save R450 000 as a deposit to buy a house on 30 June 2018.
P2,2,2.2,Statistics,inherited,Determine the equation of the least squares regression line for the data.
P2,5,5.3,Trigonometry,inherited,"Given: sin36°=./1— p’
Without using a calculator, determine EACH of the following in terms of p:"
P1,6,6.1,Algebra & Equations,inherited,Calculate the value of k.
P1,2,2.1,Algebra & Equations,inherited,| Calculate the value of x.
P1,9,2.2,Algebra & Equations,inherited,"D_| -——+| — 4
7 x 2 =| oe
{12]
Copyright reserved Please turn over

===== Page 8 =====
Mathematics P1 8 DBE/November 2021
NSC"
P2,10,10.3,Analytical Geometry,keyword,"Prove, giving reasons, that AD is a tangent to the circle passing through A, C
and F."
P2,1,1.3.2,Statistics,inherited,"Describe the skewness of the data. (i)
[10}

Copyright reserved Please turn over

===== Page 4 =====
Mathematics/P2 4 DBE/November 2021
NSC"
