paper,question_number,subquestion,topic_v2,mapping_method_v2,question_text
P2,8.0,8.4,FUNC,signature,"8.4

BKLC isa horizontal base having KBC=104° and BKC =52,6°.

The rectangular backdrop, ABCD, is vertical to the horizontal base and must have an area
of 648 cm’.

The sides of ABCD must be in the ratio AB: BC=1: 2.

The stage must be partly enclosed with triangular sides ABK and DCL.

Area = 648 em

K L

Show that AB = 18 cm. (2)
Calculate the length of AC. (2)
Calculate the length of diagonal KC. (2)
If AB=BK, calculate the size of KAC. (4)

[10}

Copyright reserved Please tum over

Mathematics/P2 10 DBE/November 2025
NSC Confidential

Provide reasons for your statements in QUESTIONS 9, 10 and 11."
P1,1.0,1.1.3,,unmapped,1.1.3 8x? > 2x
P1,6.0,6.2,FUNC,signature,"6.2 Graph g intersects the horizontal asymptote of graph f at x=1 and the graph f at
x=3. Graphs f and g also intersect on the y-axis. Determine the equation of f (5)"
P1,5.0,5.3.2,,unmapped,5.3.2 f(x) <6 (2)
P1,3.0,3.3,SEQ,signature,3.3 Calculate the maximum depth that the torpedo reached.
P2,5.0,5.1.3,TRIG,lexicon,"5.1.3 sin 10° (4)
i Oo Oo
PP Given: sin (540 £2).cos(0 +x)
sin(—x)"
P1,3.0,3.1,SEQ,signature,3.1 Calculate the depth of the torpedo at the end of the first 5 seconds.
P1,5.0,5.1,FUNC,signature,5.1 Write down the domain of g. (1)
P1,2.0,2.1.1,,unmapped,2.1.1 Show that t=—2
P2,5.0,5.11,TRIG,lexicon,"5.11 cos 40° (2)
512 2sin 25°.cos 25° (5)
—2+4sin’ 25°"
