question_id,question_number,subquestion,marks,question_text,topic_gold,subtopic_gold,skill_gold,secondary_topic_gold,command_verb_gold,structure_type_gold,notes,labeler,labelled_at
2025_P1_Q1.1.1,1,1.1.1,2,"Solve for x: (x+5)(x-2)=0",Algebra & Equations,Quadratic equations,Solve quadratic equation by factorisation,,solve,routine_calculation,Marks estimated from standard NSC allocation,analyst,2026-09-10
2025_P1_Q1.1.2,1,1.1.2,4,"Solve for x: 5x²+2=-9x (correct to TWO decimal places)",Algebra & Equations,Quadratic equations,Solve quadratic equation using the quadratic formula,,solve,routine_calculation,Marks estimated from standard NSC allocation,analyst,2026-09-10
2025_P1_Q1.1.3,1,1.1.3,3,Solve for x: 8x² > 2x,Algebra & Equations,Inequalities,Solve quadratic inequality,,solve,multi_step_calculation,Marks estimated from standard NSC allocation,analyst,2026-09-10
2025_P1_Q1.1.4,1,1.1.4,4,Solve for x: 2·2^(2x) − 9·2^x + 4 = 0,Algebra & Equations,Exponents & surds,Solve exponential equation by substitution,,solve,multi_step_calculation,Marks estimated from standard NSC allocation,analyst,2026-09-10
2025_P1_Q1.1.5,1,1.1.5,4,Solve for x: √(1/x + 2) = 1/√x,Algebra & Equations,Exponents & surds,Solve surd equation,,solve,multi_step_calculation,,analyst,2026-09-10
2025_P1_Q1.2,1,1.2,6,"Calculate the values of x and y if: x is the sum of 2 and y; five times the product of x and y is 6 more than the square of x",Algebra & Equations,Simultaneous equations,Solve simultaneous equations from a word problem,,calculate,word_problem_application,Marks estimated from standard NSC allocation,analyst,2026-09-10
2025_P1_Q2.1.1,2,2.1.1,3,Show that t = -2,Number Patterns & Sequences,Geometric sequences,Show that a value satisfies a geometric series condition,,show,proof_show_that,,analyst,2026-09-10
2025_P1_Q2.1.2,2,2.1.2,3,Calculate the value of T₂₅. Write your answer in the form Tₙ = b^x,Number Patterns & Sequences,Geometric sequences,Calculate the nth term of a geometric sequence,,calculate,routine_calculation,,analyst,2026-09-10
2025_P1_Q2.1.3,2,2.1.3,2,Calculate the sum of the infinite series,Number Patterns & Sequences,Series & sigma notation,Calculate the sum of an infinite geometric series,,calculate,routine_calculation,,analyst,2026-09-10
2025_P1_Q2.2.1,2,2.2.1,2,Write down the difference between T₆ and T₁₄,Number Patterns & Sequences,Arithmetic sequences,Calculate the difference between two terms of an arithmetic sequence,,write down,routine_calculation,,analyst,2026-09-10
2025_P1_Q2.2.2,2,2.2.2,5,Calculate the value of k,Number Patterns & Sequences,Series & sigma notation,Calculate the lower limit of an arithmetic series,,calculate,multi_step_calculation,,analyst,2026-09-10
2025_P1_Q3.1,3,3.1,2,Calculate the depth of the torpedo at the end of the first 5 seconds,Number Patterns & Sequences,Quadratic sequences,Calculate a term of a quadratic sequence,,calculate,routine_calculation,,analyst,2026-09-10
2025_P1_Q3.2,3,3.2,3,Show that the depth of the torpedo at the end of n seconds was Tₙ = -n² + 38n - 1,Number Patterns & Sequences,Quadratic sequences,Determine the general term of a quadratic sequence,,show,proof_show_that,,analyst,2026-09-10
2025_P1_Q3.3,3,3.3,3,Calculate the maximum depth that the torpedo reached,Number Patterns & Sequences,Quadratic sequences,Calculate the maximum value of a quadratic sequence,,calculate,multi_step_calculation,Ambiguous with Functions & Graphs / Parabola; retained under Sequences due to paper context,analyst,2026-09-10
2025_P1_Q3.4,3,3.4,2,After how many seconds was the torpedo at 104 m below sea level for the second time?,Number Patterns & Sequences,Quadratic sequences,Solve for the time when a quadratic sequence reaches a given value,,determine,multi_step_calculation,,analyst,2026-09-10
2025_P1_Q4.1,4,4.1,1,Calculate the value of t,Functions & Graphs,Logarithmic functions,Calculate a function value on a logarithmic graph,,calculate,routine_calculation,,analyst,2026-09-10
2025_P1_Q4.2,4,4.2,1,Write down the coordinates of A,Functions & Graphs,Logarithmic functions,Identify the intercept of a logarithmic function,,write down,routine_calculation,,analyst,2026-09-10
2025_P1_Q4.3,4,4.3,2,"Determine the equation of f⁻¹, the inverse of f, in the form y = ...",Functions & Graphs,Inverse functions,Determine the equation of an inverse function,,determine,multi_step_calculation,,analyst,2026-09-10
2025_P1_Q4.4,4,4.4,1,Write down the equation of the asymptote of f⁻¹,Functions & Graphs,Inverse functions,Identify the asymptote of an inverse function,,write down,routine_calculation,,analyst,2026-09-10
2025_P1_Q4.5,4,4.5,3,"Draw the graph of f⁻¹. Clearly indicate intercepts, one other point, and asymptotes.",Functions & Graphs,Inverse functions,Sketch the graph of an inverse function,,draw,graph_sketch,,analyst,2026-09-10
2025_P1_Q4.6,4,4.6,2,The graph of h is obtained when f⁻¹ is translated 5 units to the right. Determine the y-values of h where x > 4.,Functions & Graphs,Transformations,Determine the effect of a horizontal translation,,determine,multi_step_calculation,,analyst,2026-09-10
2025_P1_Q5.1,5,5.1,1,Write down the domain of g,Functions & Graphs,Hyperbola,Write down the domain of a hyperbola,,write down,routine_calculation,,analyst,2026-09-10
2025_P1_Q5.2,5,5.2,1,Write down the range of f,Functions & Graphs,Quadratic functions,Write down the range of a parabola,,write down,routine_calculation,,analyst,2026-09-10
2025_P1_Q5.3.1,5,5.3.1,2,Determine the values of x for which g(x) ≤ f(x),Functions & Graphs,Graph interpretation,Determine x-values where one graph lies below another,,determine,graph_interpretation,,analyst,2026-09-10
2025_P1_Q5.3.2,5,5.3.2,2,Determine the values of x for which f(x) < 6,Functions & Graphs,Graph interpretation,Determine x-values where a graph lies below a horizontal line,,determine,graph_interpretation,,analyst,2026-09-10
2025_P1_Q5.4,5,5.4,3,Show that the equation of the parabola is f(x) = -½x² + 3x + 7/2,Functions & Graphs,Quadratic functions,Determine the equation of a parabola from a graph,,show,proof_show_that,,analyst,2026-09-10
2025_P1_Q5.5,5,5.5,6,Calculate the length of MT,Functions & Graphs,Graph interpretation,Calculate the distance between intercepts of two graphs,,calculate,multi_step_calculation,Ambiguous with Analytical Geometry; retained under Graph interpretation for P1 context,analyst,2026-09-10
2025_P1_Q5.6,5,5.6,3,Determine the equation of the tangent to f at D,Calculus,Tangents,Determine the equation of a tangent at a given point,,determine,multi_step_calculation,,analyst,2026-09-10
