year,document_id,paper,question_number,subquestion,marks,question_text,segmentation_status,topic_v2,subtopic_v2,mapping_method_v2,mapping_confidence_v2,signature_id_v2,_source,inherited_v2,inherited_from_v2
2018,2018_nov_p1_exam_maths,P1,1,1.1,,Solve for x:,stem,ALG,,signature,high,nsc_solve_x,path_a,False,
2018,2018_nov_p1_exam_maths,P1,1,1.1.1,3.0,x* —-4x+3=0,ok,,,unmapped,,,path_a,False,
2018,2018_nov_p1_exam_maths,P1,1,1.1.2,3.0,5x* —5x+1=0 (correct to TWO decimal places),ok,ALG,,struct,high,STRUCT_ALG,path_a,False,
2018,2018_nov_p1_exam_maths,P1,1,1.1.3,3.0,x’ —3x-10>0,ok,ALG,,struct,medium,STRUCT_ALG,path_a,False,
2018,2018_nov_p1_exam_maths,P1,1,1.1.4,4.0,3Vx =x-4,ok,,,unmapped,,,path_a,False,
2018,2018_nov_p1_exam_maths,P1,1,1.2,6.0,"Solve simultaneously for x and y:
3x-y=2 and 2y+9x*? =-]",ok,ALG,,struct,high,STRUCT_ALG,path_a,False,
2018,2018_nov_p1_exam_maths,P1,1,1.3,,"If 3°*=64 and 5%” =64, calculate, WITHOUT the use of a calculator,
the value of: bap
vs"" (a
[23]",missing_marks,,,unmapped,,,path_a,False,
2018,2018_nov_p2_exam_maths,P2,1,1.1,,"The cumulative frequency graph (ogive) drawn below shows the total number of
food items ordered from a menu over a period of 1 hour.

° TA C | min 8 oom
povmiedHandun oc untied ci eat ontontantcatesioeradfus fenieiies
Mobis fecafest cd osttsstessfsafeatlottoatee’ cafaaHlcd Oanbetie:
-Sogesist et] EEE HE ET ITEE EY al HEEET TEL
=o UGsudi fHsszd/ if ceaffl/cedfdHocatf TT FsedHiIEEETTEGUT

ie) 10 20 30 40 50 60
Number of minutes",stem,STAT,,signature,high,ogive_reading,path_a,False,
2018,2018_nov_p2_exam_maths,P2,1,1.1.1,1.0,"Write down the total number of food items ordered from the menu during
this hour.",ok,,,unmapped,,,path_a,False,
2018,2018_nov_p2_exam_maths,P2,1,1.1.2,1.0,Write down the modal class of the data.,ok,STAT,,lexicon,medium,,path_a,False,
2018,2018_nov_p2_exam_maths,P2,1,1.1.3,1.0,How long did it take to order the first 30 food items?,ok,,,unmapped,,,path_a,False,
2018,2018_nov_p2_exam_maths,P2,1,1.1.4,2.0,How many food items were ordered in the last 15 minutes?,ok,STAT,,lexicon,medium,,path_a,False,
2018,2018_nov_p2_exam_maths,P2,1,1.1.5,2.0,"Determine the 75"" percentile for the data.",ok,STAT,,lexicon,medium,,path_a,False,
2018,2018_nov_p2_exam_maths,P2,1,1.1.6,,"Calculate the interquartile range of the data. (2)

Copyright reserved Please turn over

===== Page 4 =====
Mathematics/P2 4 DBE/November 2018
NSC",missing_marks,STAT,,signature,high,iqr,path_a,False,
