document_id,year,paper,question_number,subquestion,marks,question_text,source_type,segmentation_status,topic,mapping_method,rule_id,mapping_confidence,taxonomy_version,extraction_method,vision_description,vision_verification_status,diagram_present,load_bearing_diagram,data_quality,mapped_at
2021_nov_p1_exam_maths,2021,P1,1,1.1,,Solve for x:,exam,missing_marks,Algebra & Equations,keyword,D_ALG,high,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.719017+00:00
2021_nov_p1_exam_maths,2021,P1,1,1.1.1,3.0,x? ~2x-24=0,exam,ok,Algebra & Equations,keyword,D_ALG,high,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.719497+00:00
2021_nov_p1_exam_maths,2021,P1,1,1.1.2,3.0,2x*-3x-3=0 (correct to TWO decimal places),exam,ok,Algebra & Equations,keyword,D_ALG,high,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.719784+00:00
2021_nov_p1_exam_maths,2021,P1,1,1.1.3,4.0,x? +5x<-4,exam,ok,Euclidean Geometry,inherited,D_INHERIT_Q_SAFE,medium,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.720534+00:00
2021_nov_p1_exam_maths,2021,P1,1,1.1.4,4.0,Vx+28=2-x,exam,ok,Algebra & Equations,ocr_equation,D_ALG_EQ,medium,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.720837+00:00
2021_nov_p1_exam_maths,2021,P1,1,1.2,6.0,"Solve simultaneously for x and y in:
2y=3+x and 2xy+7=x7? +4y’",exam,ok,Algebra & Equations,keyword,D_ALG,high,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.721537+00:00
2021_nov_p1_exam_maths,2021,P1,1,1.3,,"The roots of an equation are x= ae =e where m, n and p are positive
real numbers. The numbers m, n and pin that order, form a geometric sequence.
Prove that x is a non-real number. (4)",exam,mark_capped,Euclidean Geometry,keyword,D_EUCL,high,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.721810+00:00
2021_nov_p1_exam_maths,2021,P1,2,2.1,2.0,| Calculate the value of x.,exam,ok,Algebra & Equations,inherited,D_INHERIT_Q_SAFE,medium,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.722073+00:00
2021_nov_p1_exam_maths,2021,P1,2,2.2,2.0,"Show that the sum of the first m termsis S$, =1 ovo(t —(0,9)"" ).",exam,ok,Algebra & Equations,keyword,D_ALG,high,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.722411+00:00
2021_nov_p1_exam_maths,2021,P1,2,2.3,,"Hence, or otherwise, calculate the sum to infinity. (2)
[6]
Copyright reserved — Please turn over

===== Page 4 =====
Mathematics P! 4 DBE/November 2021
NSC",exam,missing_marks,Algebra & Equations,inherited,D_INHERIT_Q_SAFE,medium,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.722776+00:00
2021_nov_p1_exam_maths,2021,P1,3,3.1,1.0,"Write down the value of T,.",exam,ok,Number Patterns & Sequences,inherited,D_INHERIT_Q_SAFE,medium,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.723028+00:00
2021_nov_p1_exam_maths,2021,P1,3,3.2,3.0,"Show that the general term of this number pattern is T, = —n? + 26n-170.",exam,ok,Number Patterns & Sequences,keyword,D_SEQ,high,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.723295+00:00
2021_nov_p1_exam_maths,2021,P1,3,3.3,4.0,"Between which TWO terms of the quadratic number pattern will there be a difference
of —121?",exam,ok,Algebra & Equations,keyword,D_ALG,high,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.723587+00:00
2021_nov_p1_exam_maths,2021,P1,3,3.4,11.0,"What value must be added to each term in the number pattern so that the value of the
maximum term in the new number pattern formed will be 1? (3)",exam,ok,Number Patterns & Sequences,inherited,D_INHERIT_Q_SAFE,medium,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.723939+00:00
2021_nov_p1_exam_maths,2021,P1,4,4.1,3.0,"Determine T,,.",exam,ok,Number Patterns & Sequences,inherited,D_INHERIT_Q_SAFE,medium,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.724179+00:00
2021_nov_p1_exam_maths,2021,P1,4,4.2,,"Calculate the sum of the first 51 terms. (2)
; 5000",exam,missing_marks,Number Patterns & Sequences,inherited,D_INHERIT_Q_SAFE,medium,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.724447+00:00
2021_nov_p1_exam_maths,2021,P1,4,4.3,,"Write down the expansion of >) (2n+3). Show only the first 3 terms and the last
n=l
term of the expansion. (1)
5000 4999",exam,missing_marks,Number Patterns & Sequences,keyword,D_SEQ,high,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.724737+00:00
2021_nov_p1_exam_maths,2021,P1,4,4.4,10.0,"Hence, or otherwise, calculate > (2n+3)+ > (—2n-1).
n=l n=l
ALL working details must be shown. (4)",exam,ok,Number Patterns & Sequences,inherited,D_INHERIT_Q_SAFE,medium,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.725058+00:00
2021_nov_p1_exam_maths,2021,P1,5,5.1,2.0,Write down the equations of the asymptotes of f.,exam,ok,Functions & Graphs,keyword,D_FUNC,high,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.725318+00:00
2021_nov_p1_exam_maths,2021,P1,5,5.2,1.0,Write down the domain of,exam,ok,Functions & Graphs,keyword,D_FUNC,high,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.725558+00:00
2021_nov_p1_exam_maths,2021,P1,5,5.3,2.0,Determine the coordinates of the x-intercept of f,exam,ok,Functions & Graphs,keyword,D_FUNC,high,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.725826+00:00
2021_nov_p1_exam_maths,2021,P1,5,5.4,2.0,Write down the coordinates of the y-intercept of f,exam,ok,Functions & Graphs,keyword,D_FUNC,high,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.726094+00:00
2021_nov_p1_exam_maths,2021,P1,5,5.5,,"Draw the graph of f- Clearly show ALL the asymptotes and intercepts with the axes. (3)
. [10]
Copyright reserved Please tum over

===== Page 5 =====
Mathematics P1 5 DBE/November 2021
NSC",exam,missing_marks,Functions & Graphs,keyword,D_FUNC,high,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.726447+00:00
2021_nov_p1_exam_maths,2021,P1,6,6.1,2.0,Calculate the value of k.,exam,ok,Algebra & Equations,inherited,D_INHERIT_Q_SAFE,medium,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.726708+00:00
2021_nov_p1_exam_maths,2021,P1,6,6.2,2.0,Determine the values of x for which —1< f(x) £2.,exam,ok,Algebra & Equations,keyword,D_ALG,high,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.726987+00:00
2021_nov_p1_exam_maths,2021,P1,6,6.3,2.0,"Write down the equation of f~', the inverse of f, inthe form y=...",exam,ok,Algebra & Equations,inherited,D_INHERIT_Q_SAFE,medium,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.727279+00:00
2021_nov_p1_exam_maths,2021,P1,6,6.4,,"For which values of x will x.f (x) <0? (2)
[8]
Copyright reserved Please turn over

===== Page 6 =====
Mathematics P1 6 DBE/November 2021
NSC",exam,missing_marks,Algebra & Equations,inherited,D_INHERIT_Q_SAFE,medium,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.727616+00:00
2021_nov_p1_exam_maths,2021,P1,7,7.1,2.0,Write down the coordinates of B and D.,exam,ok,Functions & Graphs,inherited,D_INHERIT_Q_SAFE,medium,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.727872+00:00
2021_nov_p1_exam_maths,2021,P1,7,7.2,2.0,Calculate the coordinates of C.,exam,ok,Functions & Graphs,inherited,D_INHERIT_Q_SAFE,medium,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.728123+00:00
2021_nov_p1_exam_maths,2021,P1,7,7.3,1.0,Write down the range of f,exam,ok,Functions & Graphs,keyword,D_FUNC,high,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.728359+00:00
2021_nov_p1_exam_maths,2021,P1,7,7.4,,"Given that @= 14,04° and the tangent to f at T is perpendicular to AE.",exam,missing_marks,Functions & Graphs,inherited,D_INHERIT_Q_SAFE,medium,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.729154+00:00
2021_nov_p1_exam_maths,2021,P1,7,7.4.1,1.0,"Calculate the gradient of AE, correct to TWO decimal places.",exam,ok,Analytical Geometry,keyword,D_AGEO,high,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.729438+00:00
2021_nov_p1_exam_maths,2021,P1,7,7.4.2,5.0,Calculate the coordinates of T.,exam,ok,Functions & Graphs,inherited,D_INHERIT_Q_SAFE,medium,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.729698+00:00
2021_nov_p1_exam_maths,2021,P1,7,7.5,,"A straight line, g, parallel to AE, cuts f at K(-3 ;-9) and R.

Calculate the x-coordinate of R. (6)

[17]

Copyright reserved Please turn over

===== Page 7 =====
Mathematics P1 7 DBE/November 2021
NSC",exam,missing_marks,Functions & Graphs,inherited,D_INHERIT_Q_SAFE,medium,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.730089+00:00
2021_nov_p1_exam_maths,2021,P1,8,8.1,3.0,"A farmer bought a tractor for R980 000. The value of the tractor depreciates annually
at a rate of 9,2% p.a. on the reducing-balance method. Calculate the book value of
the tractor after 7 years.",exam,ok,Finance,inherited,D_INHERIT_Q_SAFE,medium,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.730465+00:00
2021_nov_p1_exam_maths,2021,P1,8,8.2,4.0,"How many years will it take for an amount of R75 000 to accrue to R116 253,50 in
an account earning interest of 6,8% p.a., compounded quarterly?",exam,ok,Finance,inherited,D_INHERIT_Q_SAFE,medium,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.730802+00:00
2021_nov_p1_exam_maths,2021,P1,8,8.3,,Thabo wanted to save R450 000 as a deposit to buy a house on 30 June 2018.,exam,missing_marks,Finance,inherited,D_INHERIT_Q_SAFE,medium,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.731092+00:00
2021_nov_p1_exam_maths,2021,P1,8,8.3.1,3.0,"He deposited a fixed amount of money at the end of every month into an
account earning interest of 8,35% p.a., compounded monthly. His first
deposit was made on 31 July 2013 and his 60th deposit on 30 June 2018.
Calculate the amount he deposited monthly.",exam,ok,Finance,inherited,D_INHERIT_Q_SAFE,medium,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.731517+00:00
2021_nov_p1_exam_maths,2021,P1,8,8.3.2,,"Thabo bought a house costing R1500 000 and used his savings as the
deposit. He obtained a home loan for the balance of the purchase price at
an interest of 12% p.a., compounded monthly over 25 years. He made
his first monthly instalment of R11 058,85 towards the loan on
31 July 2018.
(a) What will the balance outstanding on the loan be on 30 June 2039,
21 years after the loan was granted? (3)
(a) Calculate the interest Thabo will have paid over the first
21 years of the loan. (3)",exam,mark_capped,Finance,keyword,D_FIN,high,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.732968+00:00
2021_nov_p1_exam_maths,2021,P1,9,9.1,5.0,Determine f ‘(x) from first principles if it is given that f(x) =2x? —3x.,exam,ok,Calculus,symbolic,D_CALC,high,v1_frozen,ocr_text,,,False,False,text_usable,2026-09-18T09:52:06.734970+00:00
