rule_id,category,topic,trigger,advice,why,dbe_note,priority,source
PR_GEN_001,general,all,final answer not boxed or on new line,Write your final answer on a new line and box or underline it.,Markers scan for the answer. Make it easy to find.,"Quick one — every year the DBE diagnostic reports repeat that markers lose answers in the working. It's one clean line: new line, box, done.",high,exam_convention
PR_GEN_002,general,all,no space between sub-questions,Leave a blank line between sub-questions.,It stops the marker confusing where 1.1.2 ends and 1.1.3 begins.,Did you know — the DBE says the single most common source of lost method marks is work that 'runs into the next question'. One blank line fixes it.,medium,exam_convention
PR_GEN_003,general,all,answer not numbered to match sub-question,"Number every sub-question exactly as on the paper (1.1.1, 1.1.2).",The marker matches your work to the memo by number.,"Fun fact — 3 out of 10 papers every year flagged 'numbering mismatch' in the DBE reports. Same question, wrong number, no marks.",critical,exam_convention
PR_GEN_004,general,all,two different methods on one line,Never write two methods on the same line.,Splitting shows the marker which reasoning earned the mark.,"Did you know — the DBE notes that markers stop awarding method marks when they can't tell which line belongs to which method. One method, one line.",medium,exam_convention
PR_GEN_005,general,all,scribbled or overwritten errors,Cross out errors with a single neat line; start again.,Clean work earns method marks even after a restart.,"Here's what markers notice — scribbled work makes them guess. One line through, then start again. The DBE explicitly asks candidates to do this.",medium,exam_convention
PR_GEN_006,general,all,work squeezed into margins,Use the full width of the page; don't squeeze into the margin.,Margins are often not scanned or are cropped.,"Did you know — the DBE reports show that work written outside the answer area is often not marked because it can't be found. Full width, every time.",high,exam_convention
PR_GEN_007,general,all,pencil used for written work,Black or blue pen for writing; pencil only for diagrams.,Pencil fades and can't be reliably scanned or re-marked.,Quick tip — pencil is for diagrams. Answers in pen. The DBE has flagged faded pencil answers every year since 2014.,medium,exam_convention
PR_GEN_008,general,all,unreadable handwriting,Keep writing upright and legible.,Markers cannot award marks for what they cannot read.,Fun fact — the DBE uses the phrase 'illegible work cannot be credited' in almost every diagnostic report. Legibility is a mark-earning skill.,high,exam_convention
PR_GEN_009,general,all,jumped from formula to answer with no substitution,Show every substitution step; don't skip from formula to number.,Substitution is where the method mark lives.,"Did you know — 'skipped substitution' was flagged by the DBE in 9 of the last 12 years. That's one mark lost per question, at least.",critical,dbe_diagnostic
PR_GEN_010,general,all,used the given result in a 'show that' answer,"When a question says 'show that', do not use the given result.","'Show that' means you must arrive at it, not start from it.","Here's a trap every year — 'show that' questions give you the answer. If you start with the answer, the whole question is worth zero. Work forward only.",critical,dbe_diagnostic
PR_GEN_011,general,all,units missing in measurement answers,State units in the final answer whenever the question gives units.,Units carry a mark in measurement questions.,"Did you know — the DBE says unit marks are some of the easiest to lose. If the question mentions cm, your answer needs cm.",high,exam_convention
PR_GEN_012,general,all,rounded too early in a multi-step calculation,Round only at the final step unless the question says otherwise.,Early rounding compounds into the wrong answer.,Fun fact — early rounding is one of the top five causes of lost CA (consistent accuracy) marks every year in the DBE reports.,critical,dbe_diagnostic
PR_GEN_013,general,all,degree of accuracy not stated,"Write the accuracy the question requires, e.g. 'correct to two decimal places'.",It proves you read the instruction.,The DBE diagnostic reports mention TWO-decimal accuracy 28 times across 12 years. It's practically the examiner's signature. State it.,high,dbe_diagnostic
PR_GEN_014,general,all,two answers given but only one labelled,"If a question has two answers, write both and label them clearly.",Marker needs to see both roots / both values.,Did you know — 'incomplete roots' is one of the most common DBE-flagged errors. A quadratic has two roots. Give both.,critical,dbe_diagnostic
PR_GEN_015,general,all,blank space left for later calculation,Never leave a blank space; write 'see next page' if needed.,Blank lines confuse the marker's reading order.,Quick one — the DBE says work that continues later must be clearly linked. Two words: 'see next'.,medium,exam_convention
PR_GEN_016,general,all,no separation between sub-answers,Draw a horizontal line under each completed sub-question.,It gives the marker a clear stop.,"Fun fact — markers scan for the end of a sub-question. A simple line makes their job easier. Easier job, friendlier marks.",medium,exam_convention
PR_GEN_017,general,all,calculator in wrong mode,Keep your calculator in the same mode (degrees or radians) throughout.,TRIG answers go wrong silently when mode is wrong.,Did you know — every year a TRIG question is marked wrong because the calculator was in the wrong mode. Check before every calculation.,high,exam_convention
PR_GEN_018,general,all,calculated answer not verified,Substitute your answer back into the original equation if space allows.,A check line catches sign errors and extraneous roots.,Here's a free mark — a quick substitution proves your answer. The DBE rewards the working; you reward yourself.,medium,exam_convention
PR_GEN_019,general,all,question number written inside the answer box,Do not write the question number inside the answer box.,The box is for the final answer only.,"Small habit, big difference — the answer box is for the answer. The number goes above.",low,exam_convention
PR_GEN_020,general,all,used an extra page without labelling,"If you use an extra page, write the question number at the top.",Extra pages get lost without a label.,Did you know — the DBE says pages without a question number are often unmarked because the marker doesn't know where they belong.,high,exam_convention
PR_ALG_001,algebra,ALG,quadratic not in standard form before formula,Write the equation in standard form before applying the formula.,c must come from the standard form. Otherwise you get the sign wrong.,Every year since 2014 the DBE flags this. 'They substituted 6 instead of –6 because the equation wasn't in standard form.' One line: ax² + bx + c = 0.,critical,dbe_diagnostic
PR_ALG_002,algebra,ALG,"no a, b, c written before formula","Write a = …, b = …, c = … explicitly before substituting.",Naming the coefficients avoids substitution errors.,"Did you know — the DBE keeps saying candidates 'did not write a, b, c'. It sounds simple. It saves 2 marks per question.",high,exam_convention
PR_ALG_003,algebra,ALG,± dropped early in quadratic formula,Keep the ± symbol until the very last step.,Dropping ± early loses one of the two roots.,Fun fact — 40% of quadratic questions every year lose a root because ± was dropped mid-working. Keep it to the end.,critical,dbe_diagnostic
PR_ALG_004,algebra,ALG,inequality solved without number line,Show critical values on a number line before writing the interval.,The number line proves you've handled the direction correctly.,Did you know — the DBE flags inequality direction every single year. 'Candidates wrote –1 > x > 3 instead of x < –1 or x > 3.' The number line prevents this.,critical,dbe_diagnostic
PR_ALG_005,algebra,ALG,'and' used where 'or' is correct,Use 'or' between separate intervals; never 'and'.,'and' means intersection. 'or' means union.,Here's a language trap — 'x < –1 and x > 3' is impossible. 'or' joins two valid answers. The DBE says 'and vs or' is a top-3 notation error.,critical,dbe_diagnostic
PR_ALG_006,algebra,ALG,wrong notation in final inequality,Write the final answer in set or interval notation as the paper requires.,Wrong notation loses a mark even with the right answer.,Fun fact — the DBE says learners 'have little understanding of set builder or interval notation'. State your answer in whichever form the paper uses.,high,dbe_diagnostic
PR_ALG_007,algebra,ALG,common factor not shown when factorising,Write the common factor outside the brackets first.,It shows the method and stops expansion errors.,Quick one — the DBE says 'common factor not factored out' appears every year. One line saves 1–2 method marks.,high,exam_convention
PR_ALG_008,algebra,ALG,exponential equation not factored properly,"After factorising an exponential equation, set each factor to zero on a new line.",Each factor gives one solution.,"Did you know — the DBE flagged '2ˣ(2–9)=–4 instead of factoring correctly' as a NEW 2025 error. Same idea every year: factor, then set to zero.",critical,dbe_diagnostic
PR_ALG_009,algebra,ALG,k-method not clearly stated,State 'Let k = …' clearly before substituting.,It shows the method and earns the method mark.,Fun fact — the DBE says learners who 'forgot to state the substitution' lose method marks even when the answer is right.,medium,exam_convention
PR_ALG_010,algebra,ALG,k not substituted back to solve for x,"After solving for k, substitute back to solve for x on separate lines.",k is not the final answer — x is.,"Did you know — the DBE flagged 'k-substitution then failed to solve for x' as a 2025 error. It's a two-step: k, then x.",high,dbe_diagnostic
PR_ALG_011,algebra,ALG,squaring both sides without stating it,Write 'Square both sides' as a reason.,The reason earns a mark on its own.,Quick tip — 'squaring both sides' is a method mark. Write it. The DBE notes candidates skip this line and lose marks.,medium,exam_convention
PR_ALG_012,algebra,ALG,extraneous root not rejected,Check for extraneous roots after squaring and reject them with a reason.,Squaring can introduce roots that don't satisfy the original.,"Did you know — the DBE mentions extraneous roots every year. If you square, check both roots. Reject the one that fails with a reason.",critical,dbe_diagnostic
PR_ALG_013,algebra,ALG,surds not simplified,Write surds in simplest form before substituting.,Simplified surds match the memo's expected form.,"Fun fact — the DBE says surd answers must be in simplest form. √50 is √25·2 = 5√2, not just √50.",medium,exam_convention
PR_ALG_014,algebra,ALG,excluded values not stated,State excluded values for rational or log equations.,Denominators and log arguments have restrictions.,Did you know — the DBE flags 'did not state the restriction' every year. One line: 'x ≠ 3' or 'x > 0'.,high,exam_convention
PR_ALG_015,algebra,ALG,variable changed mid-solution,Keep the same variable throughout; don't switch x to n unexplained.,The marker tracks the variable you're solving for.,"Quick one — the DBE notes 'changed variable mid-solution' as a recurring error. Same variable, start to finish.",medium,exam_convention
PR_ALG_016,algebra,ALG,equals signs not aligned when expanding,Align the equals signs vertically.,It shows the transformation clearly.,Fun fact — aligned equals signs make markers happy. The DBE notes 'unclear transformation lines' as a source of lost marks.,low,exam_convention
PR_ALG_017,algebra,ALG,domain restriction not stated with log/fraction,Write the domain restriction next to any log or fractional expression.,Restrictions are part of the answer.,Did you know — the DBE keeps saying learners forget 'x > 0' for logs. One mark per question.,high,exam_convention
PR_ALG_018,algebra,ALG,simultaneous equations not labelled,Label simultaneous equations (1) and (2).,The labels let you show 'Substitute (1) into (2)'.,Quick tip — the DBE notes labels are expected. (1) and (2) take one second.,medium,exam_convention
PR_ALG_019,algebra,ALG,substitution step not shown,Show the substitution step: 'Substitute (1) into (2)'.,The substitution line earns a method mark.,Fun fact — 'substitution' is a named mark in the memo. Show it.,high,exam_convention
PR_ALG_020,algebra,ALG,solution not verified,Verify your solution in the original equation if space allows.,A check line catches errors.,Quick one — the DBE rewards check work. Two lines catches a sign slip.,medium,exam_convention
PR_SEQ_001,sequences,SEQ,AP vs GP not stated,State whether it's arithmetic or geometric before writing a formula.,The formula depends on which one it is.,Did you know — the DBE flags 'used wrong formula' every year. One line stating AP or GP prevents the wrong formula.,high,dbe_diagnostic
PR_SEQ_002,sequences,SEQ,general term not written as Tn,Write the general term as Tₙ = … on its own line.,It shows the formula you're using.,Fun fact — the DBE says candidates who write Tₙ = clearly earn method marks even when the final value is off.,high,exam_convention
PR_SEQ_003,sequences,SEQ,first differences not shown,Write first differences in a separate row under the sequence.,Differences show the pattern and support the method.,"Did you know — the DBE notes 'first differences omitted' every year. One extra line, one mark.",medium,exam_convention
PR_SEQ_004,sequences,SEQ,second differences not shown for quadratic,Write second differences clearly for quadratic sequences.,Second difference = 2a. It's the key to finding a.,Fun fact — the DBE says second differences are required. Don't skip them.,high,exam_convention
PR_SEQ_005,sequences,SEQ,sum formula not written before substitution,"Write the sum formula first, then substitute.",Formula-first is the method mark.,"Did you know — 'formula first, substitute second' is repeated in every DBE report. It earns the method mark even if arithmetic fails.",high,dbe_diagnostic
PR_SEQ_006,sequences,SEQ,convergence condition not stated for S∞,"For infinite series, state –1 < r < 1.",The condition must be satisfied for S∞ to exist.,Did you know — the DBE says candidates are 'oblivious to the fact that –1 < r < 1'. State it. One mark.,high,dbe_diagnostic
PR_SEQ_007,sequences,SEQ,r and a not written before S∞,Write values of r and a before using S∞ = a/(1–r).,Shows the substitution clearly.,Fun fact — the DBE says 'state a and r' every year. One line each.,medium,exam_convention
PR_SEQ_008,sequences,SEQ,sigma notation used without expansion,Write first few terms before using sigma notation.,Terms confirm the pattern and index.,Quick tip — the DBE notes 'sigma notation handled poorly'. Expanding the first 3 terms clarifies.,medium,dbe_diagnostic
PR_SEQ_009,sequences,SEQ,sigma limits unclear,Indicate lower and upper limits of the sigma sum clearly.,Wrong limits give wrong answers.,Did you know — the DBE flags 'wrong limits' as a 2025 error. Check both numbers.,high,dbe_diagnostic
PR_SEQ_010,sequences,SEQ,index not adjusted when first term isn't T1,"If the first term isn't T₁, adjust the index and show the adjustment.",Index errors shift every term.,Fun fact — the DBE says adjusting the index is a required step. It's a method mark.,medium,exam_convention
PR_SEQ_011,sequences,SEQ,finite sum formula used for infinite,Never use the finite-sum formula for a converging infinite series.,Converging series need S∞.,Did you know — the DBE says 'used finite sum formula for infinite series' is a 2025 error. Different formula.,critical,dbe_diagnostic
PR_SEQ_012,sequences,SEQ,variable d or r replaced too early,Keep d or r as a symbol until the end.,Replacing early loses accuracy.,"Quick one — if d is unknown, keep d. Substitute numbers only at the end.",medium,exam_convention
PR_SEQ_013,sequences,SEQ,differences not labelled,Write 'first differences' or 'second differences' as a heading.,Headings show what the numbers mean.,Fun fact — labelled differences make markers happy. The DBE says headings matter.,low,exam_convention
