document_id,year,paper,document_type,source_text_file,extraction_quality,question_number,subquestion,marks,marks_all_found,question_text,question_char_count,segment_index,segmentation_status,question_id,topic,subtopic,mapping_method,rule_id,mapping_confidence,taxonomy_version
2025_nov_p1_exam_maths,2025,P1,exam,data\processed\ocr\text\2025_nov_p1_exam_maths_ocr.txt,ocr_good,1.0,1.1.3,,[],1.1.3 8x? > 2x,14.0,2.0,ok,2025_nov_p1_exam_maths__Q1__1.1.3,Trigonometry,Equations,context_inherit,inherit_prev_subq,medium,v1.2
2025_nov_p1_exam_maths,2025,P1,exam,data\processed\ocr\text\2025_nov_p1_exam_maths_ocr.txt,ocr_good,1.0,1.1.4,,[],"1.1.4 2.27* -9.2* +4=0

[ft 1",29.0,3.0,ok,2025_nov_p1_exam_maths__Q1__1.1.4,Trigonometry,Equations,context_inherit,inherit_prev_subq,medium,v1.2
2025_nov_p1_exam_maths,2025,P1,exam,data\processed\ocr\text\2025_nov_p1_exam_maths_ocr.txt,ocr_good,1.0,1.1.5,,[],"1.1.5 —+2=—=
x Vx",17.0,4.0,ok,2025_nov_p1_exam_maths__Q1__1.1.5,Trigonometry,Equations,context_inherit,inherit_prev_subq,medium,v1.2
2025_nov_p1_exam_maths,2025,P1,exam,data\processed\ocr\text\2025_nov_p1_exam_maths_ocr.txt,ocr_good,1.0,1.2,,[],"1.2 Calculate the values of x and y if:

e x isthe sum of 2 and y
e Five times the product of x and y, is 6 more than the square of x",133.0,5.0,ok,2025_nov_p1_exam_maths__Q1__1.2,Trigonometry,Equations,context_inherit,inherit_prev_subq,medium,v1.2
2025_nov_p1_exam_maths,2025,P1,exam,data\processed\ocr\text\2025_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.1.1,,[],2.1.1 Show that t=—2,20.0,2.0,ok,2025_nov_p1_exam_maths__Q2__2.1.1,Trigonometry,Equations,context_inherit,inherit_prev_subq,medium,v1.2
2025_nov_p1_exam_maths,2025,P1,exam,data\processed\ocr\text\2025_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.1.2,,[],"2.1.2 Calculate the value of 7,,. Write your answer in the form 7, = 5*",71.0,3.0,ok,2025_nov_p1_exam_maths__Q2__2.1.2,Trigonometry,Equations,context_inherit,inherit_prev_subq,medium,v1.2
2025_nov_p1_exam_maths,2025,P1,exam,data\processed\ocr\text\2025_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.1.3,,[],"2.1.3 Calculate the sum of the infinite series.

U7",51.0,4.0,ok,2025_nov_p1_exam_maths__Q2__2.1.3,Number Patterns & Sequences,Arithmetic sequences,rule,seq,high,v1.2
2025_nov_p1_exam_maths,2025,P1,exam,data\processed\ocr\text\2025_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.2,,[],"2.2 Given }'(4p-1)= 26 675
pak",30.0,5.0,ok,2025_nov_p1_exam_maths__Q2__2.2,Number Patterns & Sequences,Arithmetic sequences,context_inherit,inherit_prev_subq,medium,v1.2
2025_nov_p1_exam_maths,2025,P1,exam,data\processed\ocr\text\2025_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.2.1,,[],"2.2.1 Write down the difference between 7 and 7),",49.0,6.0,ok,2025_nov_p1_exam_maths__Q2__2.2.1,Number Patterns & Sequences,Arithmetic sequences,context_inherit,inherit_prev_subq,medium,v1.2
2025_nov_p1_exam_maths,2025,P1,exam,data\processed\ocr\text\2025_nov_p1_exam_maths_ocr.txt,ocr_good,2.0,2.2.2,15.0,"[2, 4, 4, 4, 5, 6, 3, 3, 2, 2, 5, 15]","2.2.2 Calculate the value of k.

Copyright reserved Please turn over

(2)
(4)
(4)
(4)

(5)

(6)
[25]

(3)
(3)
(2)

(2)

(5)
[15]

Mathematics/P1 4
NSC Confidential",163.0,7.0,ok,2025_nov_p1_exam_maths__Q2__2.2.2,Number Patterns & Sequences,Arithmetic sequences,context_inherit,inherit_prev_subq,medium,v1.2
